entity_name,entity_type,sport,league,source_priority,source_url,search_query,notes
Italy W,team,volleyball,Volleyball,wikimedia,,Italy W logo,wikimedia
Italy W,team,volleyball,Volleyball,bing,,Italy W logo transparent png,bing image fallback
Turkey W,team,volleyball,Volleyball,official,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/teams/women/,Turkey W volleyball logo,volleyball world
Turkey W,team,volleyball,Volleyball,wikimedia,,Turkey W logo,wikimedia
Turkey W,team,volleyball,Volleyball,bing,,Turkey W logo transparent png,bing image fallback
Japan W,team,soccer,Soccer,official,https://www.ussoccer.com/teams/uswnt,Japan W soccer logo,soccer fallback
Japan W,team,soccer,Soccer,wikimedia,,Japan W logo,wikimedia
Japan W,team,soccer,Soccer,bing,,Japan W logo transparent png,bing image fallback
South Africa W,team,soccer,Soccer,official,https://www.ussoccer.com/teams/uswnt,South Africa W soccer logo,soccer fallback
South Africa W,team,soccer,Soccer,wikimedia,,South Africa W logo,wikimedia
South Africa W,team,soccer,Soccer,bing,,South Africa W logo transparent png,bing image fallback
Mexico W,team,soccer,Soccer,official,https://www.ussoccer.com/teams/uswnt,Mexico W soccer logo,soccer fallback
Mexico W,team,soccer,Soccer,wikimedia,,Mexico W logo,wikimedia
Mexico W,team,soccer,Soccer,bing,,Mexico W logo transparent png,bing image fallback
Australia W,team,soccer,Soccer,official,https://www.ussoccer.com/teams/uswnt,Australia W soccer logo,soccer fallback
Australia W,team,soccer,Soccer,wikimedia,,Australia W logo,wikimedia
Australia W,team,soccer,Soccer,bing,,Australia W logo transparent png,bing image fallback
Brazil U20 W,team,soccer,Soccer,official,https://www.ussoccer.com/teams/uswnt,Brazil U20 W soccer logo,soccer fallback
Brazil U20 W,team,soccer,Soccer,wikimedia,,Brazil U20 W logo,wikimedia
Brazil U20 W,team,soccer,Soccer,bing,,Brazil U20 W logo transparent png,bing image fallback
Korea Republic U20 W,team,soccer,Soccer,official,https://www.ussoccer.com/teams/uswnt,Korea Republic U20 W soccer logo,soccer fallback
Korea Republic U20 W,team,soccer,Soccer,wikimedia,,Korea Republic U20 W logo,wikimedia
Korea Republic U20 W,team,soccer,Soccer,bing,,Korea Republic U20 W logo transparent png,bing image fallback
Jessica Shepard,player,basketball,WNBA,official,https://www.wnba.com/players,Jessica Shepard WNBA headshot,wnba players page
Jessica Shepard,player,basketball,WNBA,wikimedia,,Jessica Shepard athlete image,wikimedia
Jessica Shepard,player,basketball,WNBA,bing,,Jessica Shepard headshot official,bing image fallback
Arike Ogunbowale,player,basketball,WNBA,official,https://www.wnba.com/players,Arike Ogunbowale WNBA headshot,wnba players page
Arike Ogunbowale,player,basketball,WNBA,wikimedia,,Arike Ogunbowale athlete image,wikimedia
Arike Ogunbowale,player,basketball,WNBA,bing,,Arike Ogunbowale headshot official,bing image fallback
Paige Bueckers,player,basketball,WNBA,official,https://www.wnba.com/players,Paige Bueckers WNBA headshot,wnba players page
Paige Bueckers,player,basketball,WNBA,wikimedia,,Paige Bueckers athlete image,wikimedia
Paige Bueckers,player,basketball,WNBA,bing,,Paige Bueckers headshot official,bing image fallback
A'ja Wilson,player,basketball,WNBA,official,https://www.wnba.com/players,A'ja Wilson WNBA headshot,wnba players page
A'ja Wilson,player,basketball,WNBA,wikimedia,,A'ja Wilson athlete image,wikimedia
A'ja Wilson,player,basketball,WNBA,bing,,A'ja Wilson headshot official,bing image fallback
Gabby Williams,player,basketball,WNBA,official,https://www.wnba.com/players,Gabby Williams WNBA headshot,wnba players page
Gabby Williams,player,basketball,WNBA,wikimedia,,Gabby Williams athlete image,wikimedia
