run_id,event_uid,canonical_key,selected_source,source_count,all_sources_json,sport_norm,league_norm,gender_scope,scheduled_start_utc,scheduled_date_local,home_team_norm,away_team_norm,home_team_display,away_team_display,final_score_display,game_state,status_norm,home_score,away_score,winner,loser,outcome_type,editorial_tier,editorial_bucket,content_action,content_family,posting_priority,caption_seed,score_by_period_json,team_stats_json,player_stats_json,top_performers_json,confidence,confidence_reason_json,score_conflict,manual_review,include_in_dashboard,include_in_graphics,editorial_rank,graphics_headline,graphics_subhead,source_url,source_priority
57a4d340e80660fd,ff5d3bc2daacb06f,basketball|2026-06-08|indiana fever|washington mystics,espn_wnba,1,"[""espn_wnba""]",basketball,WNBA,women,2026-06-08T23:00Z,2026-06-08,washington mystics,indiana fever,Washington Mystics,Indiana Fever,Indiana Fever 78 - Washington Mystics 76,final,final,76,78,Indiana Fever,Washington Mystics,win,Tier 1,Archive Only,Archive,Tonight in the W,Archive Only,"Indiana Fever defeated Washington Mystics, Indiana Fever 78 - Washington Mystics 76.","{""Washington Mystics"": [{""value"": 16.0, ""displayValue"": ""16"", ""period"": 1}, {""value"": 13.0, ""displayValue"": ""13"", ""period"": 2}, {""value"": 24.0, ""displayValue"": ""24"", ""period"": 3}, {""value"": 23.0, ""displayValue"": ""23"", ""period"": 4}], ""Indiana Fever"": [{""value"": 21.0, ""displayValue"": ""21"", ""period"": 1}, {""value"": 22.0, ""displayValue"": ""22"", ""period"": 2}, {""value"": 17.0, ""displayValue"": ""17"", ""period"": 3}, {""value"": 18.0, ""displayValue"": ""18"", ""period"": 4}]}",,,,0.83,"{""base_source"": ""espn_wnba"", ""base"": 0.55, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05], [""wnba_espn_backup_present"", 0.08]], ""final_confidence"": 0.83}",No,No,Yes,No,342.3,Indiana Fever beat Washington Mystics,Final: Indiana Fever 78 - Washington Mystics 76,https://www.espn.com/wnba/game/_/gameId/401856973,70
57a4d340e80660fd,62490b120c253ee4,basketball|2026-06-08|connecticut sun|new york liberty,espn_wnba,1,"[""espn_wnba""]",basketball,WNBA,women,2026-06-08T23:00Z,2026-06-08,connecticut sun,new york liberty,Connecticut Sun,New York Liberty,New York Liberty 89 - Connecticut Sun 80,final,final,80,89,New York Liberty,Connecticut Sun,win,Tier 1,Archive Only,Archive,Tonight in the W,Archive Only,"New York Liberty defeated Connecticut Sun, New York Liberty 89 - Connecticut Sun 80.","{""Connecticut Sun"": [{""value"": 18.0, ""displayValue"": ""18"", ""period"": 1}, {""value"": 17.0, ""displayValue"": ""17"", ""period"": 2}, {""value"": 21.0, ""displayValue"": ""21"", ""period"": 3}, {""value"": 24.0, ""displayValue"": ""24"", ""period"": 4}], ""New York Liberty"": [{""value"": 23.0, ""displayValue"": ""23"", ""period"": 1}, {""value"": 15.0, ""displayValue"": ""15"", ""period"": 2}, {""value"": 27.0, ""displayValue"": ""27"", ""period"": 3}, {""value"": 24.0, ""displayValue"": ""24"", ""period"": 4}]}",,,,0.83,"{""base_source"": ""espn_wnba"", ""base"": 0.55, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05], [""wnba_espn_backup_present"", 0.08]], ""final_confidence"": 0.83}",No,No,Yes,No,275.7,New York Liberty beat Connecticut Sun,Final: New York Liberty 89 - Connecticut Sun 80,https://www.espn.com/wnba/game/_/gameId/401856972,70
57a4d340e80660fd,90e634d5081a200a,basketball|2026-06-08|las vegas aces|seattle storm,espn_wnba,1,"[""espn_wnba""]",basketball,WNBA,women,2026-06-09T02:00Z,2026-06-08,las vegas aces,seattle storm,Las Vegas Aces,Seattle Storm,Seattle Storm 91 - Las Vegas Aces 101,final,final,101,91,Las Vegas Aces,Seattle Storm,win,Tier 1,Archive Only,Archive,Tonight in the W,Archive Only,"Las Vegas Aces defeated Seattle Storm, Seattle Storm 91 - Las Vegas Aces 101.","{""Las Vegas Aces"": [{""value"": 23.0, ""displayValue"": ""23"", ""period"": 1}, {""value"": 27.0, ""displayValue"": ""27"", ""period"": 2}, {""value"": 22.0, ""displayValue"": ""22"", ""period"": 3}, {""value"": 29.0, ""displayValue"": ""29"", ""period"": 4}], ""Seattle Storm"": [{""value"": 25.0, ""displayValue"": ""25"", ""period"": 1}, {""value"": 18.0, ""displayValue"": ""18"", ""period"": 2}, {""value"": 16.0, ""displayValue"": ""16"", ""period"": 3}, {""value"": 32.0, ""displayValue"": ""32"", ""period"": 4}]}",,,,0.83,"{""base_source"": ""espn_wnba"", ""base"": 0.55, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05], [""wnba_espn_backup_present"", 0.08]], ""final_confidence"": 0.83}",No,No,Yes,No,275.7,Las Vegas Aces beat Seattle Storm,Final: Seattle Storm 91 - Las Vegas Aces 101,https://www.espn.com/wnba/game/_/gameId/401856974,70
57a4d340e80660fd,3ec526e7438be7c2,basketball|2026-06-09|atlanta dream|chicago sky,espn_wnba,1,"[""espn_wnba""]",basketball,WNBA,women,2026-06-09T23:00Z,2026-06-09,chicago sky,atlanta dream,Chicago Sky,Atlanta Dream,Atlanta Dream 0 - Chicago Sky 0,"tue, june 9th at 7:00 pm edt","tue, june 9th at 7:00 pm edt",0,0,,,"tue, june 9th at 7:00 pm edt",Tier 1,Archive Only,Archive,Tonight in the W,Archive Only,"Status: Tue, June 9th at 7:00 PM EDT","{""Chicago Sky"": [], ""Atlanta Dream"": []}",,,,0.73,"{""base_source"": ""espn_wnba"", ""base"": 0.55, ""adjustments"": [[""score_complete"", 0.05], [""period_data_present"", 0.05], [""wnba_espn_backup_present"", 0.08]], ""final_confidence"": 0.73}",No,No,Yes,No,250.7,Atlanta Dream vs Chicago Sky,"Status: Tue, June 9th at 7:00 PM EDT",https://www.espn.com/wnba/game/_/gameId/401856975,70
57a4d340e80660fd,2a6385dc6039c170,basketball|2026-06-09|dallas wings|minnesota lynx,espn_wnba,1,"[""espn_wnba""]",basketball,WNBA,women,2026-06-10T00:00Z,2026-06-09,minnesota lynx,dallas wings,Minnesota Lynx,Dallas Wings,Dallas Wings 0 - Minnesota Lynx 0,"tue, june 9th at 8:00 pm edt","tue, june 9th at 8:00 pm edt",0,0,,,"tue, june 9th at 8:00 pm edt",Tier 1,Archive Only,Archive,Tonight in the W,Archive Only,"Status: Tue, June 9th at 8:00 PM EDT","{""Minnesota Lynx"": [], ""Dallas Wings"": []}",,,,0.73,"{""base_source"": ""espn_wnba"", ""base"": 0.55, ""adjustments"": [[""score_complete"", 0.05], [""period_data_present"", 0.05], [""wnba_espn_backup_present"", 0.08]], ""final_confidence"": 0.73}",No,No,Yes,No,250.7,Dallas Wings vs Minnesota Lynx,"Status: Tue, June 9th at 8:00 PM EDT",https://www.espn.com/wnba/game/_/gameId/401856976,70
57a4d340e80660fd,3d012f0600894382,basketball|2026-06-09|golden state valkyries|phoenix mercury,espn_wnba,1,"[""espn_wnba""]",basketball,WNBA,women,2026-06-10T02:00Z,2026-06-09,golden state valkyries,phoenix mercury,Golden State Valkyries,Phoenix Mercury,Phoenix Mercury 0 - Golden State Valkyries 0,"tue, june 9th at 10:00 pm edt","tue, june 9th at 10:00 pm edt",0,0,,,"tue, june 9th at 10:00 pm edt",Tier 1,Archive Only,Archive,Tonight in the W,Archive Only,"Status: Tue, June 9th at 10:00 PM EDT","{""Golden State Valkyries"": [], ""Phoenix Mercury"": []}",,,,0.73,"{""base_source"": ""espn_wnba"", ""base"": 0.55, ""adjustments"": [[""score_complete"", 0.05], [""period_data_present"", 0.05], [""wnba_espn_backup_present"", 0.08]], ""final_confidence"": 0.73}",No,No,Yes,No,250.7,Phoenix Mercury vs Golden State Valkyrie,"Status: Tue, June 9th at 10:00 PM EDT",https://www.espn.com/wnba/game/_/gameId/401856977,70
57a4d340e80660fd,cc9d21eff6f8481c,basketball|2026-06-10|connecticut sun|toronto tempo,espn_wnba,1,"[""espn_wnba""]",basketball,WNBA,women,2026-06-10T23:00Z,2026-06-10,toronto tempo,connecticut sun,Toronto Tempo,Connecticut Sun,Connecticut Sun 0 - Toronto Tempo 0,"wed, june 10th at 7:00 pm edt","wed, june 10th at 7:00 pm edt",0,0,,,"wed, june 10th at 7:00 pm edt",Tier 1,Archive Only,Archive,Tonight in the W,Archive Only,"Status: Wed, June 10th at 7:00 PM EDT","{""Toronto Tempo"": [], ""Connecticut Sun"": []}",,,,0.73,"{""base_source"": ""espn_wnba"", ""base"": 0.55, ""adjustments"": [[""score_complete"", 0.05], [""period_data_present"", 0.05], [""wnba_espn_backup_present"", 0.08]], ""final_confidence"": 0.73}",No,No,Yes,No,250.7,Connecticut Sun vs Toronto Tempo,"Status: Wed, June 10th at 7:00 PM EDT",https://www.espn.com/wnba/game/_/gameId/401856978,70
57a4d340e80660fd,f1fda8547c22996b,basketball|2026-06-10|los angeles sparks|seattle storm,espn_wnba,1,"[""espn_wnba""]",basketball,WNBA,women,2026-06-11T02:00Z,2026-06-10,seattle storm,los angeles sparks,Seattle Storm,Los Angeles Sparks,Los Angeles Sparks 0 - Seattle Storm 0,"wed, june 10th at 10:00 pm edt","wed, june 10th at 10:00 pm edt",0,0,,,"wed, june 10th at 10:00 pm edt",Tier 1,Archive Only,Archive,Tonight in the W,Archive Only,"Status: Wed, June 10th at 10:00 PM EDT","{""Seattle Storm"": [], ""Los Angeles Sparks"": []}",,,,0.73,"{""base_source"": ""espn_wnba"", ""base"": 0.55, ""adjustments"": [[""score_complete"", 0.05], [""period_data_present"", 0.05], [""wnba_espn_backup_present"", 0.08]], ""final_confidence"": 0.73}",No,No,Yes,No,250.7,Los Angeles Sparks vs Seattle Storm,"Status: Wed, June 10th at 10:00 PM EDT",https://www.espn.com/wnba/game/_/gameId/401856979,70
