run_id,event_uid,canonical_key,selected_source,source_count,all_sources_json,sport_norm,league_norm,gender_scope,scheduled_start_utc,scheduled_date_local,home_team_norm,away_team_norm,home_team_display,away_team_display,final_score_display,game_state,status_norm,home_score,away_score,winner,loser,outcome_type,editorial_tier,editorial_bucket,content_action,content_family,posting_priority,caption_seed,score_by_period_json,team_stats_json,player_stats_json,top_performers_json,confidence,confidence_reason_json,score_conflict,manual_review,include_in_dashboard,include_in_graphics,editorial_rank,graphics_headline,graphics_subhead,source_url,source_priority
cc84c917103a2a20,03730da56f68af12,soccer|2026-06-07|hluboka nad vltavou|povltava fa,api_sports,1,"[""api_sports""]",soccer,4. liga - Divizie A,unknown,2026-06-07T15:00:00+00:00,2026-06-07,hluboka nad vltavou,povltava fa,Hluboka nad Vltavou,Povltava FA,Povltava FA  - Hluboka nad Vltavou ,scheduled,scheduled,,,,,scheduled,Tier 3,Archive Only,Archive,Results Desk,Archive Only,Status: Not Started,"{""goals"": {""home"": null, ""away"": null}, ""score"": {""halftime"": {""home"": null, ""away"": null}, ""fulltime"": {""home"": null, ""away"": null}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.57,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""period_data_present"", 0.05], [""gender_unknown_penalty"", -0.2]], ""final_confidence"": 0.57}",No,No,No,No,0.0,Povltava FA vs Hluboka nad Vltavou,Status: Not Started,https://v3.football.api-sports.io/fixtures,100
cc84c917103a2a20,a1f8651dee8d03f1,soccer|2026-06-07|milevsko|tj p e tice,api_sports,1,"[""api_sports""]",soccer,4. liga - Divizie A,unknown,2026-06-07T15:00:00+00:00,2026-06-07,milevsko,tj p e tice,Milevsko,TJ Přeštice,TJ Přeštice  - Milevsko ,scheduled,scheduled,,,,,scheduled,Tier 3,Archive Only,Archive,Results Desk,Archive Only,Status: Not Started,"{""goals"": {""home"": null, ""away"": null}, ""score"": {""halftime"": {""home"": null, ""away"": null}, ""fulltime"": {""home"": null, ""away"": null}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.57,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""period_data_present"", 0.05], [""gender_unknown_penalty"", -0.2]], ""final_confidence"": 0.57}",No,No,No,No,0.0,TJ Přeštice vs Milevsko,Status: Not Started,https://v3.football.api-sports.io/fixtures,100
cc84c917103a2a20,5677ee691c46397b,soccer|2026-06-07|spartak police n metuj|svitavy,api_sports,1,"[""api_sports""]",soccer,4. liga - Divizie C,unknown,2026-06-07T15:00:00+00:00,2026-06-07,spartak police n metuj,svitavy,Spartak Police n/Metují,Svitavy,Svitavy  - Spartak Police n/Metují ,scheduled,scheduled,,,,,scheduled,Tier 3,Archive Only,Archive,Results Desk,Archive Only,Status: Not Started,"{""goals"": {""home"": null, ""away"": null}, ""score"": {""halftime"": {""home"": null, ""away"": null}, ""fulltime"": {""home"": null, ""away"": null}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.57,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""period_data_present"", 0.05], [""gender_unknown_penalty"", -0.2]], ""final_confidence"": 0.57}",No,No,No,No,0.0,Svitavy vs Spartak Police n/Metují,Status: Not Started,https://v3.football.api-sports.io/fixtures,100
cc84c917103a2a20,22ca84a10b200847,soccer|2026-06-07|kosmonosy|turnov,api_sports,1,"[""api_sports""]",soccer,4. liga - Divizie C,unknown,2026-06-07T15:00:00+00:00,2026-06-07,turnov,kosmonosy,Turnov,Kosmonosy,Kosmonosy  - Turnov ,scheduled,scheduled,,,,,scheduled,Tier 3,Archive Only,Archive,Results Desk,Archive Only,Status: Not Started,"{""goals"": {""home"": null, ""away"": null}, ""score"": {""halftime"": {""home"": null, ""away"": null}, ""fulltime"": {""home"": null, ""away"": null}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.57,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""period_data_present"", 0.05], [""gender_unknown_penalty"", -0.2]], ""final_confidence"": 0.57}",No,No,No,No,0.0,Kosmonosy vs Turno,Status: Not Started,https://v3.football.api-sports.io/fixtures,100
cc84c917103a2a20,ebf76fe20983058b,soccer|2026-06-07|ban k sokolov|tempo praha,api_sports,1,"[""api_sports""]",soccer,4. liga - Divizie B,unknown,2026-06-07T15:00:00+00:00,2026-06-07,tempo praha,ban k sokolov,Tempo Praha,Baník Sokolov,Baník Sokolov  - Tempo Praha ,scheduled,scheduled,,,,,scheduled,Tier 3,Archive Only,Archive,Results Desk,Archive Only,Status: Not Started,"{""goals"": {""home"": null, ""away"": null}, ""score"": {""halftime"": {""home"": null, ""away"": null}, ""fulltime"": {""home"": null, ""away"": null}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.57,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""period_data_present"", 0.05], [""gender_unknown_penalty"", -0.2]], ""final_confidence"": 0.57}",No,No,No,No,0.0,Baník Sokolov vs Tempo Praha,Status: Not Started,https://v3.football.api-sports.io/fixtures,100
cc84c917103a2a20,9a4eacd79776af3d,soccer|2026-06-07|ranheim|strommen,api_sports,1,"[""api_sports""]",soccer,1. Division,unknown,2026-06-07T15:00:00+00:00,2026-06-07,ranheim,strommen,Ranheim,Strommen,Strommen  - Ranheim ,scheduled,scheduled,,,,,scheduled,Tier 3,Archive Only,Archive,Results Desk,Archive Only,Status: Not Started,"{""goals"": {""home"": null, ""away"": null}, ""score"": {""halftime"": {""home"": null, ""away"": null}, ""fulltime"": {""home"": null, ""away"": null}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.57,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""period_data_present"", 0.05], [""gender_unknown_penalty"", -0.2]], ""final_confidence"": 0.57}",No,No,No,No,0.0,Strommen vs Ranheim,Status: Not Started,https://v3.football.api-sports.io/fixtures,100
cc84c917103a2a20,b8b9e6cf3066a29a,soccer|2026-06-07|ayema|dragons,api_sports,1,"[""api_sports""]",soccer,Championnat National,unknown,2026-06-07T15:00:00+00:00,2026-06-07,dragons,ayema,Dragons,Ayema,Ayema  - Dragons ,scheduled,scheduled,,,,,scheduled,Tier 3,Archive Only,Archive,Results Desk,Archive Only,Status: Not Started,"{""goals"": {""home"": null, ""away"": null}, ""score"": {""halftime"": {""home"": null, ""away"": null}, ""fulltime"": {""home"": null, ""away"": null}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.57,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""period_data_present"", 0.05], [""gender_unknown_penalty"", -0.2]], ""final_confidence"": 0.57}",No,No,No,No,0.0,Ayema vs Dragon,Status: Not Started,https://v3.football.api-sports.io/fixtures,100
cc84c917103a2a20,400f1268b0f928ec,soccer|2026-06-07|jonava|minija,api_sports,1,"[""api_sports""]",soccer,1 Lyga,unknown,2026-06-07T15:00:00+00:00,2026-06-07,jonava,minija,Jonava,Minija,Minija  - Jonava ,scheduled,scheduled,,,,,scheduled,Tier 3,Archive Only,Archive,Results Desk,Archive Only,Status: Not Started,"{""goals"": {""home"": null, ""away"": null}, ""score"": {""halftime"": {""home"": null, ""away"": null}, ""fulltime"": {""home"": null, ""away"": null}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.57,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""period_data_present"", 0.05], [""gender_unknown_penalty"", -0.2]], ""final_confidence"": 0.57}",No,No,No,No,0.0,Minija vs Jonava,Status: Not Started,https://v3.football.api-sports.io/fixtures,100
cc84c917103a2a20,f59af51a75e19489,soccer|2026-06-07|torpedo vladimir|tver,api_sports,1,"[""api_sports""]",soccer,Second League - Group 2,unknown,2026-06-07T15:00:00+00:00,2026-06-07,torpedo vladimir,tver,Torpedo Vladimir,Tver,Tver  - Torpedo Vladimir ,scheduled,scheduled,,,,,scheduled,Tier 2,Archive Only,Archive,Results Desk,Archive Only,Status: Not Started,"{""goals"": {""home"": null, ""away"": null}, ""score"": {""halftime"": {""home"": null, ""away"": null}, ""fulltime"": {""home"": null, ""away"": null}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.57,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""period_data_present"", 0.05], [""gender_unknown_penalty"", -0.2]], ""final_confidence"": 0.57}",No,No,No,No,0.0,Tver vs Torpedo Vladimir,Status: Not Started,https://v3.football.api-sports.io/fixtures,100
cc84c917103a2a20,8611a2b73200b1d8,soccer|2026-06-07|khimik dzerzhinsk|orenburg ii,api_sports,1,"[""api_sports""]",soccer,Second League - Group 4,unknown,2026-06-07T15:00:00+00:00,2026-06-07,orenburg ii,khimik dzerzhinsk,Orenburg II,Khimik Dzerzhinsk,Khimik Dzerzhinsk  - Orenburg II ,scheduled,scheduled,,,,,scheduled,Tier 2,Archive Only,Archive,Results Desk,Archive Only,Status: Not Started,"{""goals"": {""home"": null, ""away"": null}, ""score"": {""halftime"": {""home"": null, ""away"": null}, ""fulltime"": {""home"": null, ""away"": null}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.57,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""period_data_present"", 0.05], [""gender_unknown_penalty"", -0.2]], ""final_confidence"": 0.57}",No,No,No,No,0.0,Khimik Dzerzhinsk vs Orenburg II,Status: Not Started,https://v3.football.api-sports.io/fixtures,100
