athlete_id,display_name,team_id,required_image_type,reason,recommended_path
atlanta_dream_madina_okot_headshot,Madina Okot headshot,atlanta_dream,headshot,approved athlete image missing,assets/leagues/wnba/athletes/atlanta_dream_madina_okot_headshot/headshot.png
atlanta_dream_madina_okot_headshot,Madina Okot headshot,atlanta_dream,cutout,approved athlete image missing,assets/leagues/wnba/athletes/atlanta_dream_madina_okot_headshot/cutout.png
atlanta_dream_naz_hillmon_headshot,Naz Hillmon headshot,atlanta_dream,headshot,approved athlete image missing,assets/leagues/wnba/athletes/atlanta_dream_naz_hillmon_headshot/headshot.png
atlanta_dream_naz_hillmon_headshot,Naz Hillmon headshot,atlanta_dream,cutout,approved athlete image missing,assets/leagues/wnba/athletes/atlanta_dream_naz_hillmon_headshot/cutout.png
atlanta_dream_rhyne_howard_headshot,Rhyne Howard headshot,atlanta_dream,headshot,approved athlete image missing,assets/leagues/wnba/athletes/atlanta_dream_rhyne_howard_headshot/headshot.png
atlanta_dream_rhyne_howard_headshot,Rhyne Howard headshot,atlanta_dream,cutout,approved athlete image missing,assets/leagues/wnba/athletes/atlanta_dream_rhyne_howard_headshot/cutout.png
atlanta_dream_sika_kone_headshot,Sika Kone headshot,atlanta_dream,headshot,approved athlete image missing,assets/leagues/wnba/athletes/atlanta_dream_sika_kone_headshot/headshot.png
atlanta_dream_sika_kone_headshot,Sika Kone headshot,atlanta_dream,cutout,approved athlete image missing,assets/leagues/wnba/athletes/atlanta_dream_sika_kone_headshot/cutout.png
atlanta_dream_te_hina_paopao_headshot,Te-Hina Paopao headshot,atlanta_dream,headshot,approved athlete image missing,assets/leagues/wnba/athletes/atlanta_dream_te_hina_paopao_headshot/headshot.png
atlanta_dream_te_hina_paopao_headshot,Te-Hina Paopao headshot,atlanta_dream,cutout,approved athlete image missing,assets/leagues/wnba/athletes/atlanta_dream_te_hina_paopao_headshot/cutout.png
chicago_sky_aicha_coulibaly_headshot,Aicha Coulibaly headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_aicha_coulibaly_headshot/headshot.png
chicago_sky_aicha_coulibaly_headshot,Aicha Coulibaly headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_aicha_coulibaly_headshot/cutout.png
chicago_sky_azura_stevens_headshot,Azura Stevens headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_azura_stevens_headshot/headshot.png
chicago_sky_azura_stevens_headshot,Azura Stevens headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_azura_stevens_headshot/cutout.png
chicago_sky_chantal_hart_headshot,Chantal Hart headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_chantal_hart_headshot/headshot.png
chicago_sky_chantal_hart_headshot,Chantal Hart headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_chantal_hart_headshot/cutout.png
chicago_sky_chicago_sky,Chicago Sky,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_chicago_sky/headshot.png
chicago_sky_chicago_sky,Chicago Sky,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_chicago_sky/cutout.png
chicago_sky_courtney_vandersloot_headshot,Courtney Vandersloot headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_courtney_vandersloot_headshot/headshot.png
chicago_sky_courtney_vandersloot_headshot,Courtney Vandersloot headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_courtney_vandersloot_headshot/cutout.png
chicago_sky_dijonai_carrington_headshot,DiJonai Carrington headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_dijonai_carrington_headshot/headshot.png
chicago_sky_dijonai_carrington_headshot,DiJonai Carrington headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_dijonai_carrington_headshot/cutout.png
chicago_sky_download_on_the_apple_app_store,Download on the Apple App Store,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_download_on_the_apple_app_store/headshot.png
chicago_sky_download_on_the_apple_app_store,Download on the Apple App Store,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_download_on_the_apple_app_store/cutout.png
chicago_sky_elizabeth_williams_headshot,Elizabeth Williams headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_elizabeth_williams_headshot/headshot.png
chicago_sky_elizabeth_williams_headshot,Elizabeth Williams headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_elizabeth_williams_headshot/cutout.png
chicago_sky_gabriela_jaquez_headshot,Gabriela Jaquez headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_gabriela_jaquez_headshot/headshot.png
chicago_sky_gabriela_jaquez_headshot,Gabriela Jaquez headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_gabriela_jaquez_headshot/cutout.png
chicago_sky_get_it_on_google_play,Get it on Google Play,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_get_it_on_google_play/headshot.png
chicago_sky_get_it_on_google_play,Get it on Google Play,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_get_it_on_google_play/cutout.png
chicago_sky_jacy_sheldon_headshot,Jacy Sheldon headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_jacy_sheldon_headshot/headshot.png
chicago_sky_jacy_sheldon_headshot,Jacy Sheldon headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_jacy_sheldon_headshot/cutout.png
chicago_sky_jhared_simpson_headshot,Jhared Simpson headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_jhared_simpson_headshot/headshot.png
chicago_sky_jhared_simpson_headshot,Jhared Simpson headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_jhared_simpson_headshot/cutout.png
chicago_sky_kamilla_cardoso_headshot,Kamilla Cardoso headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_kamilla_cardoso_headshot/headshot.png
chicago_sky_kamilla_cardoso_headshot,Kamilla Cardoso headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_kamilla_cardoso_headshot/cutout.png
chicago_sky_kelly_faris_headshot,Kelly Faris headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_kelly_faris_headshot/headshot.png
chicago_sky_kelly_faris_headshot,Kelly Faris headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_kelly_faris_headshot/cutout.png
chicago_sky_latricia_trammell_headshot,Latricia Trammell headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_latricia_trammell_headshot/headshot.png
chicago_sky_latricia_trammell_headshot,Latricia Trammell headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_latricia_trammell_headshot/cutout.png
chicago_sky_maddy_westbeld_headshot,Maddy Westbeld headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_maddy_westbeld_headshot/headshot.png
chicago_sky_maddy_westbeld_headshot,Maddy Westbeld headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_maddy_westbeld_headshot/cutout.png
chicago_sky_matt_repa_headshot,Matt Repa headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_matt_repa_headshot/headshot.png
chicago_sky_matt_repa_headshot,Matt Repa headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_matt_repa_headshot/cutout.png
chicago_sky_natasha_cloud_headshot,Natasha Cloud headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_natasha_cloud_headshot/headshot.png
chicago_sky_natasha_cloud_headshot,Natasha Cloud headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_natasha_cloud_headshot/cutout.png
chicago_sky_rachel_banham_headshot,Rachel Banham headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_rachel_banham_headshot/headshot.png
chicago_sky_rachel_banham_headshot,Rachel Banham headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_rachel_banham_headshot/cutout.png
chicago_sky_rena_wakama_headshot,Rena Wakama headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_rena_wakama_headshot/headshot.png
chicago_sky_rena_wakama_headshot,Rena Wakama headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_rena_wakama_headshot/cutout.png
chicago_sky_rickea_jackson_headshot,Rickea Jackson headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_rickea_jackson_headshot/headshot.png
chicago_sky_rickea_jackson_headshot,Rickea Jackson headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_rickea_jackson_headshot/cutout.png
chicago_sky_saylor_poffenbarger_headshot,Saylor Poffenbarger headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_saylor_poffenbarger_headshot/headshot.png
chicago_sky_saylor_poffenbarger_headshot,Saylor Poffenbarger headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_saylor_poffenbarger_headshot/cutout.png
chicago_sky_skylar_diggins_headshot,Skylar Diggins headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_skylar_diggins_headshot/headshot.png
chicago_sky_skylar_diggins_headshot,Skylar Diggins headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_skylar_diggins_headshot/cutout.png
chicago_sky_sydney_taylor_headshot,Sydney Taylor headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_sydney_taylor_headshot/headshot.png
chicago_sky_sydney_taylor_headshot,Sydney Taylor headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_sydney_taylor_headshot/cutout.png
chicago_sky_tyler_marsh_headshot,Tyler Marsh headshot,chicago_sky,headshot,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_tyler_marsh_headshot/headshot.png
chicago_sky_tyler_marsh_headshot,Tyler Marsh headshot,chicago_sky,cutout,approved athlete image missing,assets/leagues/wnba/athletes/chicago_sky_tyler_marsh_headshot/cutout.png
connecticut_sun_aaliyah_edwards_headshot,Aaliyah Edwards headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_aaliyah_edwards_headshot/headshot.png
connecticut_sun_aaliyah_edwards_headshot,Aaliyah Edwards headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_aaliyah_edwards_headshot/cutout.png
connecticut_sun_aneesah_morrow_headshot,Aneesah Morrow headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_aneesah_morrow_headshot/headshot.png
connecticut_sun_aneesah_morrow_headshot,Aneesah Morrow headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_aneesah_morrow_headshot/cutout.png
connecticut_sun_ashlee_mcgee_headshot,Ashlee McGee headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_ashlee_mcgee_headshot/headshot.png
connecticut_sun_ashlee_mcgee_headshot,Ashlee McGee headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_ashlee_mcgee_headshot/cutout.png
connecticut_sun_ashlon_jackson_headshot,Ashlon Jackson headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_ashlon_jackson_headshot/headshot.png
connecticut_sun_ashlon_jackson_headshot,Ashlon Jackson headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_ashlon_jackson_headshot/cutout.png
connecticut_sun_brianna_robinson_headshot,Brianna Robinson headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_brianna_robinson_headshot/headshot.png
connecticut_sun_brianna_robinson_headshot,Brianna Robinson headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_brianna_robinson_headshot/cutout.png
connecticut_sun_brittney_griner_headshot,Brittney Griner headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_brittney_griner_headshot/headshot.png
connecticut_sun_brittney_griner_headshot,Brittney Griner headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_brittney_griner_headshot/cutout.png
connecticut_sun_charlisse_leger_walker_headshot,Charlisse Leger-Walker headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_charlisse_leger_walker_headshot/headshot.png
connecticut_sun_charlisse_leger_walker_headshot,Charlisse Leger-Walker headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_charlisse_leger_walker_headshot/cutout.png
connecticut_sun_connecticut_sun,Connecticut Sun,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_connecticut_sun/headshot.png
