packet_id,platform,headline,status,reason,template_family,rendered_files,used_watermark,used_logos,used_score_context,missing_logos
ig-feed_ig-feed-noon_atlanta-dream-beat-toronto-tempo,IG Feed,Atlanta Dream beat Toronto Tempo,rendered,ok,result_final,1,yes,yes,yes,
ig-stories_ig-stories-rolling-1_last-night-in-the-w,IG Stories,Last Night in the W,blocked,missing required registry team logo(s): indiana_fever:missing_required_registry_logo; minnesota_lynx:missing_required_registry_logo; las_vegas_aces:missing_required_registry_logo; phoenix_mercury:missing_required_registry_logo,last_night_scoreboard,0,yes,no,no,indiana_fever; minnesota_lynx; las_vegas_aces; phoenix_mercury
ig-stories_ig-stories-rolling-2_last-night-in-the-w,IG Stories,Last Night in the W,blocked,missing required registry team logo(s): indiana_fever:missing_required_registry_logo; minnesota_lynx:missing_required_registry_logo; las_vegas_aces:missing_required_registry_logo; phoenix_mercury:missing_required_registry_logo,last_night_scoreboard,0,yes,no,no,indiana_fever; minnesota_lynx; las_vegas_aces; phoenix_mercury
threads_nightcap_atlanta-dream-beat-toronto-tempo,Threads,Atlanta Dream beat Toronto Tempo,rendered,ok,result_final,1,yes,yes,yes,
threads_threads-morning_from-the-epson-tour-to-lpga-winner-s-circle-gina-kim-and-yana-wilson-claim-first-lpga-title-toge,Threads,"From the Epson Tour to LPGA Winner's Circle: Gina Kim and Yana Wilson Claim First LPGA Title Together at the Dow Championship June 14, 2026",rendered,ok,storyline_feature,1,yes,not_required,no,
