bundle_slug,bundle_name,team_name,player_name,priority,status,notes
tonight-in-the-w,Tonight in the W,Atlanta Dream,Rhyne Howard,1,requested_preview_focus,Auto focus for Atlanta Dream
tonight-in-the-w,Tonight in the W,Atlanta Dream,Allisha Gray,2,requested_preview_focus,Auto focus for Atlanta Dream
tonight-in-the-w,Tonight in the W,Washington Mystics,Brittney Sykes,1,requested_preview_focus,Auto focus for Washington Mystics
tonight-in-the-w,Tonight in the W,Washington Mystics,Sonia Citron,2,requested_preview_focus,Auto focus for Washington Mystics
tonight-in-the-w,Tonight in the W,New York Liberty,Breanna Stewart,1,requested_preview_focus,Auto focus for New York Liberty
tonight-in-the-w,Tonight in the W,New York Liberty,Sabrina Ionescu,2,requested_preview_focus,Auto focus for New York Liberty
