asset_id,asset_type,entity_type,sport,league,entity_name,source_url,page_url,source_domain,discovered_via,candidate_score,approval_status,approved_asset_id,rights_status,rights_notes,download_path,checksum_sha256,width_px,height_px
ast_a954f58ba7b766,logo,team,soccer,International Soccer,Australia W,https://flagcdn.com/w320/au.png,https://flagcdn.com/w320/au.png,flagcdn.com,curated_country_flag_map,95,approved,appr_a954f58ba7b766,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_a954f58ba7b766.png,1fc19c0e59a7158894e1836da6e6ee545ea4f35f2cf748bee771f1bc3a0e00ce,,
ast_dbd34b035cd6e1,logo,team,volleyball,International Volleyball,Belgium W,https://flagcdn.com/w320/be.png,https://flagcdn.com/w320/be.png,flagcdn.com,curated_country_flag_map,95,approved,appr_dbd34b035cd6e1,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_dbd34b035cd6e1.png,08f0b3d860476a151ce275cfad1b2066327af09d2b9d186b3a1c7316a2cc59fb,,
ast_a79adaf6457f0c,logo,team,soccer,International Soccer,Brazil U20 W,https://flagcdn.com/w320/br.png,https://flagcdn.com/w320/br.png,flagcdn.com,curated_country_flag_map,95,approved,appr_a79adaf6457f0c,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_a79adaf6457f0c.png,76f921bcec127a82ac23e7d46eabbe4780c32cbd5447574f984b7e2115ef9750,,
ast_3b613e56ad6ec8,logo,team,soccer,International Soccer,Brazil W,https://flagcdn.com/w320/br.png,https://flagcdn.com/w320/br.png,flagcdn.com,curated_country_flag_map,95,approved,appr_3b613e56ad6ec8,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_3b613e56ad6ec8.png,76f921bcec127a82ac23e7d46eabbe4780c32cbd5447574f984b7e2115ef9750,,
ast_6849fd04b54eb4,logo,team,volleyball,International Volleyball,Bulgaria W,https://flagcdn.com/w320/bg.png,https://flagcdn.com/w320/bg.png,flagcdn.com,curated_country_flag_map,95,approved,appr_6849fd04b54eb4,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_6849fd04b54eb4.png,ed339369c007db474b651cb409a72dfd5ba5341fc235a9f205057596e9325ef7,,
ast_14a6cc66f75be0,logo,team,volleyball,International Volleyball,Canada W,https://flagcdn.com/w320/ca.png,https://flagcdn.com/w320/ca.png,flagcdn.com,curated_country_flag_map,95,approved,appr_14a6cc66f75be0,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_14a6cc66f75be0.png,85490776a6998e472e5928719f44ab6e352f5ead15508b6995c931b17053b95a,,
ast_885836e9869631,logo,team,volleyball,International Volleyball,China W,https://flagcdn.com/w320/cn.png,https://flagcdn.com/w320/cn.png,flagcdn.com,curated_country_flag_map,95,approved,appr_885836e9869631,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_885836e9869631.png,19d4b9084307aed2400bdc6c6ab33929c78b5f7cd3b4075758ed9efd0208402c,,
ast_7ca8ac2b2a4ad9,logo,team,basketball,WNBA,Dallas Wings,https://cdn.wnba.com/logos/wnba/1611661321/primary/D/logo.svg,https://cdn.wnba.com/logos/wnba/1611661321/primary/D/logo.svg,cdn.wnba.com,curated_exact_logo_map,95,approved,appr_7ca8ac2b2a4ad9,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_7ca8ac2b2a4ad9.svg,34667bdc5aa8ab8349a2c6754079d197e3ee8807a5226c9271386c9016848356,,
ast_65747d24fe25ad,logo,team,volleyball,International Volleyball,France W,https://flagcdn.com/w320/fr.png,https://flagcdn.com/w320/fr.png,flagcdn.com,curated_country_flag_map,95,approved,appr_65747d24fe25ad,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_65747d24fe25ad.png,d1bdc5f08a3d7290376cfc0dcd33c9604e1b5e5cbea3143cdc02da85fddf22f5,,
ast_df24e2082f811d,logo,team,basketball,WNBA,Golden State Valkyries,https://cdn.wnba.com/logos/wnba/1611661331/primary/L/logo.svg,https://cdn.wnba.com/logos/wnba/1611661331/primary/L/logo.svg,cdn.wnba.com,curated_exact_logo_map,95,approved,appr_df24e2082f811d,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_df24e2082f811d.svg,399de741bc06f4b8e4dd5dd7601780717c4c3da01bf93e073e42953d40cef1de,,
ast_2a96d8d56f4ac2,logo,team,volleyball,International Volleyball,Italy W,https://flagcdn.com/w320/it.png,https://flagcdn.com/w320/it.png,flagcdn.com,curated_country_flag_map,95,approved,appr_2a96d8d56f4ac2,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_2a96d8d56f4ac2.png,d50c6434f7f34424dd524d3535cea21725ed72ea66c706d964f0643e91c17227,,
