event_id,league_label,matchup,game_state,winner,loser,final_score,top_performer_1,top_performer_1_statline,top_performer_2,top_performer_2_statline,period_summary,confidence,manual_review_flag,source_url
401856978,WNBA,Connecticut Sun at Toronto Tempo,Final,Toronto Tempo,Connecticut Sun,Connecticut Sun 102 - Toronto Tempo 106,Brittney Sykes,"PTS 38, REB 4, AST 1, STL 2, BLK 1",Laura Juskaite,"PTS 19, REB 6, AST 2, STL 4, BLK 1",TOR: 30 | 16 | 26 | 24 | 10 || CON: 31 | 26 | 22 | 17 | 6,High,No,https://www.espn.com/basketball/game/_/gameId/401856978
401856979,WNBA,Los Angeles Sparks at Seattle Storm,Final,Los Angeles Sparks,Seattle Storm,Los Angeles Sparks 88 - Seattle Storm 83,Kelsey Plum,"PTS 19, REB 1, AST 11, STL 4, FG 6-17",Nneka Ogwumike,"PTS 24, REB 9, AST 1, STL 1, FG 9-18",SEA: 17 | 23 | 27 | 16 || LA: 22 | 18 | 26 | 22,High,No,https://www.espn.com/basketball/game/_/gameId/401856979
401856980,WNBA,Chicago Sky at Indiana Fever,Final,Indiana Fever,Chicago Sky,Chicago Sky 106 - Indiana Fever 114,Aliyah Boston,"PTS 34, REB 12, AST 3, STL 1, BLK 2",Caitlin Clark,"PTS 32, REB 7, AST 10, FG 8-18, 3PT 1-6",IND: 27 | 19 | 27 | 25 | 16 || CHI: 14 | 26 | 39 | 19 | 8,High,No,https://www.espn.com/basketball/game/_/gameId/401856980
401856981,WNBA,New York Liberty at Atlanta Dream,Final,New York Liberty,Atlanta Dream,New York Liberty 104 - Atlanta Dream 90,Angel Reese,"PTS 25, REB 9, AST 3, STL 2, BLK 1",Breanna Stewart,"PTS 19, REB 11, AST 5, STL 2, BLK 1",ATL: 19 | 25 | 20 | 26 || NY: 21 | 30 | 29 | 24,High,No,https://www.espn.com/basketball/game/_/gameId/401856981
401856982,WNBA,Phoenix Mercury at Dallas Wings,Upcoming,Dallas Wings,Phoenix Mercury,Phoenix Mercury 59 - Dallas Wings 77,Paige Bueckers,"PTS 31, REB 5, AST 4, STL 1, FG 14-20",Jessica Shepard,"PTS 17, REB 10, AST 7, STL 2, FG 7-8",DAL: 24 | 21 | 25 | 7 || PHX: 20 | 16 | 16 | 9,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856982
401856983,WNBA,Las Vegas Aces at Portland Fire,Upcoming,Portland Fire,Las Vegas Aces,Las Vegas Aces 38 - Portland Fire 42,Chelsea Gray,"PTS 12, REB 3, AST 1, FG 4-5, 3PT 4-5",Teja Oblak,"PTS 7, REB 2, AST 3, STL 1, FG 2-3",POR: 28 | 14 || LV: 27 | 11,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856983
401856984,WNBA,Toronto Tempo at Washington Mystics,Upcoming,,,Toronto Tempo 0 - Washington Mystics 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856984
401856985,WNBA,Golden State Valkyries at Seattle Storm,Upcoming,,,Golden State Valkyries 0 - Seattle Storm 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856985
