event_id,league_label,matchup,game_state,winner,loser,final_score,top_performer_1,top_performer_1_statline,top_performer_2,top_performer_2_statline,period_summary,confidence,manual_review_flag,source_url
401856986,WNBA,Indiana Fever at Connecticut Sun,Final,Indiana Fever,Connecticut Sun,Indiana Fever 85 - Connecticut Sun 75,Caitlin Clark,"PTS 25, REB 3, AST 5, BLK 1, FG 10-17",Aliyah Boston,"PTS 13, REB 11, AST 5, STL 1, FG 5-13",CON: 29 | 9 | 22 | 15 || IND: 30 | 17 | 16 | 22,High,No,https://www.espn.com/basketball/game/_/gameId/401856986
401856987,WNBA,Minnesota Lynx at Las Vegas Aces,Final,Las Vegas Aces,Minnesota Lynx,Minnesota Lynx 97 - Las Vegas Aces 100,A'ja Wilson,"PTS 24, REB 10, AST 1, STL 2, BLK 3",Natasha Howard,"PTS 22, REB 9, AST 2, STL 4, BLK 1",LV: 32 | 25 | 21 | 22 || MIN: 21 | 30 | 20 | 26,High,No,https://www.espn.com/basketball/game/_/gameId/401856987
401856988,WNBA,Dallas Wings at Portland Fire,Final,Portland Fire,Dallas Wings,Dallas Wings 83 - Portland Fire 84,Azzi Fudd,"PTS 18, REB 4, AST 3, STL 2, BLK 2",Jessica Shepard,"PTS 13, REB 14, AST 2, STL 1, FG 5-10",POR: 14 | 30 | 19 | 21 || DAL: 13 | 24 | 24 | 22,High,No,https://www.espn.com/basketball/game/_/gameId/401856988
401856989,WNBA,Los Angeles Sparks at Phoenix Mercury,Upcoming,Los Angeles Sparks,Phoenix Mercury,Los Angeles Sparks 110 - Phoenix Mercury 100,Kelsey Plum,"PTS 43, REB 2, AST 7, FG 14-26, 3PT 5-11",Kahleah Copper,"PTS 39, REB 9, AST 1, FG 16-28, 3PT 6-13",PHX: 27 | 27 | 16 | 28 | 2 || LA: 27 | 24 | 28 | 19 | 12,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856989
401856990,WNBA,Washington Mystics at New York Liberty,Upcoming,,,Washington Mystics 0 - New York Liberty 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856990
401856991,WNBA,Atlanta Dream at Toronto Tempo,Upcoming,,,Atlanta Dream 0 - Toronto Tempo 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856991
401856992,WNBA,Las Vegas Aces at Dallas Wings,Upcoming,,,Las Vegas Aces 0 - Dallas Wings 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856992
401856993,WNBA,Portland Fire at Minnesota Lynx,Upcoming,,,Portland Fire 0 - Minnesota Lynx 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856993
401856994,WNBA,Los Angeles Sparks at Golden State Valkyries,Upcoming,,,Los Angeles Sparks 0 - Golden State Valkyries 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856994
