league_label,scoreboard_date,matchup,game_state,winner,loser,final_score,headline,top_performer_1,top_performer_1_statline,top_performer_2,top_performer_2_statline,confidence,result_graphic_ready,source_url
WNBA,20260607,Chicago Sky at Toronto Tempo,Final,Toronto Tempo,Chicago Sky,Chicago Sky 68 - Toronto Tempo 85,Toronto Tempo defeat Chicago Sky,Brittney Sykes,"PTS 25, REB 7, AST 3, STL 1, FG 9-23",Azura Stevens,"PTS 18, REB 10, FG 8-15, 3PT 0-4, FT 2-2",High,Yes,https://www.espn.com/basketball/game/_/gameId/401856970
WNBA,20260607,Portland Fire at Los Angeles Sparks,Final,Los Angeles Sparks,Portland Fire,Portland Fire 72 - Los Angeles Sparks 89,Los Angeles Sparks defeat Portland Fire,Nneka Ogwumike,"PTS 20, REB 17, AST 2, STL 2, FG 8-14",Dearica Hamby,"PTS 22, REB 12, STL 2, BLK 1, FG 8-14",High,Yes,https://www.espn.com/basketball/game/_/gameId/401856971
WNBA,20260608,New York Liberty at Connecticut Sun,Upcoming,New York Liberty,Connecticut Sun,New York Liberty 73 - Connecticut Sun 66,New York Liberty vs. Connecticut Sun,Breanna Stewart,"PTS 23, REB 6, AST 3, STL 2, FG 7-14",Aaliyah Edwards,"PTS 11, REB 4, STL 3, FG 5-13, FT 1-1",Medium,No,https://www.espn.com/basketball/game/_/gameId/401856972
WNBA,20260608,Indiana Fever at Washington Mystics,Upcoming,Indiana Fever,Washington Mystics,Indiana Fever 58 - Washington Mystics 53,Indiana Fever vs. Washington Mystics,Aliyah Boston,"PTS 8, REB 8, AST 3, STL 1, BLK 1",Caitlin Clark,"PTS 14, REB 3, AST 2, STL 1, FG 5-13",Medium,No,https://www.espn.com/basketball/game/_/gameId/401856973
WNBA,20260608,Seattle Storm at Las Vegas Aces,Upcoming,,,Seattle Storm 0 - Las Vegas Aces 0,Seattle Storm vs. Las Vegas Aces,,,,,Medium,No,https://www.espn.com/basketball/game/_/gameId/401856974
WNBA,20260609,Atlanta Dream at Chicago Sky,Upcoming,,,Atlanta Dream 0 - Chicago Sky 0,Atlanta Dream vs. Chicago Sky,,,,,Medium,No,https://www.espn.com/basketball/game/_/gameId/401856975
WNBA,20260609,Dallas Wings at Minnesota Lynx,Upcoming,,,Dallas Wings 0 - Minnesota Lynx 0,Dallas Wings vs. Minnesota Lynx,,,,,Medium,No,https://www.espn.com/basketball/game/_/gameId/401856976
WNBA,20260609,Phoenix Mercury at Golden State Valkyries,Upcoming,,,Phoenix Mercury 0 - Golden State Valkyries 0,Phoenix Mercury vs. Golden State Valkyries,,,,,Medium,No,https://www.espn.com/basketball/game/_/gameId/401856977
