team_id,team_name,roster_url,source_note
atlanta_dream,Atlanta Dream,https://dream.wnba.com/roster,official_wnba_roster_page
chicago_sky,Chicago Sky,https://sky.wnba.com/roster,official_wnba_roster_page
connecticut_sun,Connecticut Sun,https://sun.wnba.com/roster,official_wnba_roster_page
indiana_fever,Indiana Fever,https://fever.wnba.com/roster,official_wnba_roster_page
new_york_liberty,New York Liberty,https://liberty.wnba.com/roster,official_wnba_roster_page
toronto_tempo,Toronto Tempo,https://tempo.wnba.com/roster,official_wnba_roster_page
washington_mystics,Washington Mystics,https://mystics.wnba.com/roster,official_wnba_roster_page
dallas_wings,Dallas Wings,https://wings.wnba.com/roster,official_wnba_roster_page
golden_state_valkyries,Golden State Valkyries,https://valkyries.wnba.com/roster,official_wnba_roster_page
las_vegas_aces,Las Vegas Aces,https://aces.wnba.com/roster,official_wnba_roster_page
los_angeles_sparks,Los Angeles Sparks,https://sparks.wnba.com/roster,official_wnba_roster_page
minnesota_lynx,Minnesota Lynx,https://lynx.wnba.com/roster,official_wnba_roster_page
phoenix_mercury,Phoenix Mercury,https://mercury.wnba.com/roster,official_wnba_roster_page
portland_fire,Portland Fire,https://fire.wnba.com/roster,official_wnba_roster_page
seattle_storm,Seattle Storm,https://storm.wnba.com/roster,official_wnba_roster_page
