athlete_id,athlete_name,team_id,team_name,conference,local_headshot_path,local_headshot_exists,approved_marker_path,approved_marker_exists,current_approval_status,identity_review_status,provider_player_id,official_roster_page_candidate,official_player_profile_candidate,official_roster_photo_candidate_url,source_evidence,crop_readiness_notes,allowed_decisions,human_intake_file,team_contact_sheet_path,team_review_board_path,review_only,publish_ready,auto_approval,auto_publish,move_files,paid_apis,asset_downloads
atlanta_dream_sika_kone,Sika Kone,atlanta_dream,Atlanta Dream,Eastern,assets/leagues/wnba/athletes/atlanta_dream_sika_kone/headshot.png,true,assets/leagues/wnba/athletes/atlanta_dream_sika_kone/headshot.png.approved,true,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,1631021,https://dream.wnba.com/roster,https://www.wnba.com/player/1631021/sika-kone,https://cdn.wnba.com/headshots/wnba/latest/260x190/1631021.png,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_sika_kone__1631021.png; approved_at_utc=2026-06-16T04:22:55.096142+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,approve_for_review_only_renderer_use|hold_identity|revise_asset|revise_source_metadata,data/asset_registry/wnba/wnba_athlete_photo_review_intake.csv,data/asset_registry/wnba/athlete_photo_contact_sheets/atlanta_dream.png,data/asset_registry/wnba/athlete_photo_contact_sheets/atlanta_dream.md,true,false,false,false,false,false,false
atlanta_dream_te_hina_paopao,Te-Hina Paopao,atlanta_dream,Atlanta Dream,Eastern,assets/leagues/wnba/athletes/atlanta_dream_te_hina_paopao/headshot.png,true,assets/leagues/wnba/athletes/atlanta_dream_te_hina_paopao/headshot.png.approved,true,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,1642804,https://dream.wnba.com/roster,https://www.wnba.com/player/1642804/te-hina-paopao,https://cdn.wnba.com/headshots/wnba/latest/260x190/1642804.png,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_te_hina_paopao__1642804.png; approved_at_utc=2026-06-16T04:22:55.093696+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,approve_for_review_only_renderer_use|hold_identity|revise_asset|revise_source_metadata,data/asset_registry/wnba/wnba_athlete_photo_review_intake.csv,data/asset_registry/wnba/athlete_photo_contact_sheets/atlanta_dream.png,data/asset_registry/wnba/athlete_photo_contact_sheets/atlanta_dream.md,true,false,false,false,false,false,false
chicago_sky_aicha_coulibaly,Aicha Coulibaly,chicago_sky,Chicago Sky,Eastern,assets/leagues/wnba/athletes/chicago_sky_aicha_coulibaly/headshot.png,true,assets/leagues/wnba/athletes/chicago_sky_aicha_coulibaly/headshot.png.approved,true,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,1642786,https://sky.wnba.com/roster,https://www.wnba.com/player/1642786/aicha-coulibaly,https://cdn.wnba.com/headshots/wnba/latest/260x190/1642786.png,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_aicha_coulibaly__1642786.png; approved_at_utc=2026-06-16T04:22:55.101037+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,approve_for_review_only_renderer_use|hold_identity|revise_asset|revise_source_metadata,data/asset_registry/wnba/wnba_athlete_photo_review_intake.csv,data/asset_registry/wnba/athlete_photo_contact_sheets/chicago_sky.png,data/asset_registry/wnba/athlete_photo_contact_sheets/chicago_sky.md,true,false,false,false,false,false,false
chicago_sky_azura_stevens,Azura Stevens,chicago_sky,Chicago Sky,Eastern,assets/leagues/wnba/athletes/chicago_sky_azura_stevens/headshot.png,true,assets/leagues/wnba/athletes/chicago_sky_azura_stevens/headshot.png.approved,true,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,1628922,https://sky.wnba.com/roster,https://www.wnba.com/player/1628922/azura-stevens,https://cdn.wnba.com/headshots/wnba/latest/260x190/1628922.png,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_azura_stevens__1628922.png; approved_at_utc=2026-06-16T04:22:55.100768+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,approve_for_review_only_renderer_use|hold_identity|revise_asset|revise_source_metadata,data/asset_registry/wnba/wnba_athlete_photo_review_intake.csv,data/asset_registry/wnba/athlete_photo_contact_sheets/chicago_sky.png,data/asset_registry/wnba/athlete_photo_contact_sheets/chicago_sky.md,true,false,false,false,false,false,false
chicago_sky_courtney_vandersloot,Courtney Vandersloot,chicago_sky,Chicago Sky,Eastern,assets/leagues/wnba/athletes/chicago_sky_courtney_vandersloot/headshot.png,true,assets/leagues/wnba/athletes/chicago_sky_courtney_vandersloot/headshot.png.approved,true,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,202664,https://sky.wnba.com/roster,https://www.wnba.com/player/202664/courtney-vandersloot,https://cdn.wnba.com/headshots/wnba/latest/260x190/202664.png,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_courtney_vandersloot__202664.png; approved_at_utc=2026-06-16T04:22:55.100200+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,approve_for_review_only_renderer_use|hold_identity|revise_asset|revise_source_metadata,data/asset_registry/wnba/wnba_athlete_photo_review_intake.csv,data/asset_registry/wnba/athlete_photo_contact_sheets/chicago_sky.png,data/asset_registry/wnba/athlete_photo_contact_sheets/chicago_sky.md,true,false,false,false,false,false,false
chicago_sky_dijonai_carrington,DiJonai Carrington,chicago_sky,Chicago Sky,Eastern,assets/leagues/wnba/athletes/chicago_sky_dijonai_carrington/headshot.png,true,assets/leagues/wnba/athletes/chicago_sky_dijonai_carrington/headshot.png.approved,true,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,1630096,https://sky.wnba.com/roster,https://www.wnba.com/player/1630096/dijonai-carrington,https://cdn.wnba.com/headshots/wnba/latest/260x190/1630096.png,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_dijonai_carrington__1630096.png; approved_at_utc=2026-06-16T04:22:55.098507+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,approve_for_review_only_renderer_use|hold_identity|revise_asset|revise_source_metadata,data/asset_registry/wnba/wnba_athlete_photo_review_intake.csv,data/asset_registry/wnba/athlete_photo_contact_sheets/chicago_sky.png,data/asset_registry/wnba/athlete_photo_contact_sheets/chicago_sky.md,true,false,false,false,false,false,false
chicago_sky_elizabeth_williams,Elizabeth Williams,chicago_sky,Chicago Sky,Eastern,assets/leagues/wnba/athletes/chicago_sky_elizabeth_williams/headshot.png,true,assets/leagues/wnba/athletes/chicago_sky_elizabeth_williams/headshot.png.approved,true,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,204322,https://sky.wnba.com/roster,https://www.wnba.com/player/204322/elizabeth-williams,https://cdn.wnba.com/headshots/wnba/latest/260x190/204322.png,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_elizabeth_williams__204322.png; approved_at_utc=2026-06-16T04:22:55.097300+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,approve_for_review_only_renderer_use|hold_identity|revise_asset|revise_source_metadata,data/asset_registry/wnba/wnba_athlete_photo_review_intake.csv,data/asset_registry/wnba/athlete_photo_contact_sheets/chicago_sky.png,data/asset_registry/wnba/athlete_photo_contact_sheets/chicago_sky.md,true,false,false,false,false,false,false
chicago_sky_gabriela_jaquez,Gabriela Jaquez,chicago_sky,Chicago Sky,Eastern,assets/leagues/wnba/athletes/chicago_sky_gabriela_jaquez/headshot.png,true,assets/leagues/wnba/athletes/chicago_sky_gabriela_jaquez/headshot.png.approved,true,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,1643447,https://sky.wnba.com/roster,https://www.wnba.com/player/1643447/gabriela-jaquez,https://cdn.wnba.com/headshots/wnba/latest/260x190/1643447.png,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_gabriela_jaquez__1643447.png; approved_at_utc=2026-06-16T04:22:55.099359+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,approve_for_review_only_renderer_use|hold_identity|revise_asset|revise_source_metadata,data/asset_registry/wnba/wnba_athlete_photo_review_intake.csv,data/asset_registry/wnba/athlete_photo_contact_sheets/chicago_sky.png,data/asset_registry/wnba/athlete_photo_contact_sheets/chicago_sky.md,true,false,false,false,false,false,false
chicago_sky_jacy_sheldon,Jacy Sheldon,chicago_sky,Chicago Sky,Eastern,assets/leagues/wnba/athletes/chicago_sky_jacy_sheldon/headshot.png,true,assets/leagues/wnba/athletes/chicago_sky_jacy_sheldon/headshot.png.approved,true,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,1642292,https://sky.wnba.com/roster,https://www.wnba.com/player/1642292/jacy-sheldon,https://cdn.wnba.com/headshots/wnba/latest/260x190/1642292.png,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_jacy_sheldon__1642292.png; approved_at_utc=2026-06-16T04:22:55.097021+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,approve_for_review_only_renderer_use|hold_identity|revise_asset|revise_source_metadata,data/asset_registry/wnba/wnba_athlete_photo_review_intake.csv,data/asset_registry/wnba/athlete_photo_contact_sheets/chicago_sky.png,data/asset_registry/wnba/athlete_photo_contact_sheets/chicago_sky.md,true,false,false,false,false,false,false
chicago_sky_kamilla_cardoso,Kamilla Cardoso,chicago_sky,Chicago Sky,Eastern,assets/leagues/wnba/athletes/chicago_sky_kamilla_cardoso/headshot.png,true,assets/leagues/wnba/athletes/chicago_sky_kamilla_cardoso/headshot.png.approved,true,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,1642289,https://sky.wnba.com/roster,https://www.wnba.com/player/1642289/kamilla-cardoso,https://cdn.wnba.com/headshots/wnba/latest/260x190/1642289.png,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_kamilla_cardoso__1642289.png; approved_at_utc=2026-06-16T04:22:55.099092+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,approve_for_review_only_renderer_use|hold_identity|revise_asset|revise_source_metadata,data/asset_registry/wnba/wnba_athlete_photo_review_intake.csv,data/asset_registry/wnba/athlete_photo_contact_sheets/chicago_sky.png,data/asset_registry/wnba/athlete_photo_contact_sheets/chicago_sky.md,true,false,false,false,false,false,false
