athlete_id,athlete_name,team_id,league,provider_player_id,source_url,identity_confidence,asset_kind,local_asset_path,file_exists,approved_marker_path,approved_marker_exists,status,approval_status,identity_review_status,missing_asset_reason,source_evidence,crop_readiness_notes,render_template_uses,review_only_policy
atlanta_dream_indya_nivar,Indya Nivar,atlanta_dream,WNBA,,https://dream.wnba.com/roster,,cutout,assets/leagues/wnba/athletes/atlanta_dream_indya_nivar/cutout.png,false,assets/leagues/wnba/athletes/atlanta_dream_indya_nivar/cutout.png.approved,false,missing,missing_asset_not_renderable,missing_asset_review_required,cutout_not_onboarded,athlete_images_registry; source_note=missing_review_required,asset_file_missing; cutout_slot_requires_manual_crop_review,review_only_not_renderable_until_approved,catalog_only_no_auto_approval_no_file_movement
atlanta_dream_indya_nivar,Indya Nivar,atlanta_dream,WNBA,1643469,https://cdn.wnba.com/headshots/wnba/latest/260x190/1643469.png,0.72,headshot,assets/leagues/wnba/athletes/atlanta_dream_indya_nivar/headshot.png,true,assets/leagues/wnba/athletes/atlanta_dream_indya_nivar/headshot.png.approved,true,approved,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_indya_nivar__1643469.png; approved_at_utc=2026-06-16T04:22:55.095866+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,review_only_manual_source_recheck_required: default_decision_source_manual_recheck_required,catalog_only_no_auto_approval_no_file_movement
atlanta_dream_isobel_borlase,Isobel Borlase,atlanta_dream,WNBA,,https://dream.wnba.com/roster,,cutout,assets/leagues/wnba/athletes/atlanta_dream_isobel_borlase/cutout.png,false,assets/leagues/wnba/athletes/atlanta_dream_isobel_borlase/cutout.png.approved,false,missing,missing_asset_not_renderable,missing_asset_review_required,cutout_not_onboarded,athlete_images_registry; source_note=missing_review_required,asset_file_missing; cutout_slot_requires_manual_crop_review,review_only_not_renderable_until_approved,catalog_only_no_auto_approval_no_file_movement
atlanta_dream_isobel_borlase,Isobel Borlase,atlanta_dream,WNBA,1642302,https://cdn.wnba.com/headshots/wnba/latest/260x190/1642302.png,0.72,headshot,assets/leagues/wnba/athletes/atlanta_dream_isobel_borlase/headshot.png,true,assets/leagues/wnba/athletes/atlanta_dream_isobel_borlase/headshot.png.approved,true,approved,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_isobel_borlase__1642302.png; approved_at_utc=2026-06-16T04:22:55.095564+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,review_only_manual_source_recheck_required: default_decision_source_manual_recheck_required,catalog_only_no_auto_approval_no_file_movement
atlanta_dream_jordin_canada,Jordin Canada,atlanta_dream,WNBA,,https://dream.wnba.com/roster,,cutout,assets/leagues/wnba/athletes/atlanta_dream_jordin_canada/cutout.png,false,assets/leagues/wnba/athletes/atlanta_dream_jordin_canada/cutout.png.approved,false,missing,missing_asset_not_renderable,missing_asset_review_required,cutout_not_onboarded,athlete_images_registry; source_note=missing_review_required,asset_file_missing; cutout_slot_requires_manual_crop_review,review_only_not_renderable_until_approved,catalog_only_no_auto_approval_no_file_movement
atlanta_dream_jordin_canada,Jordin Canada,atlanta_dream,WNBA,1628886,https://cdn.wnba.com/headshots/wnba/latest/260x190/1628886.png,0.72,headshot,assets/leagues/wnba/athletes/atlanta_dream_jordin_canada/headshot.png,true,assets/leagues/wnba/athletes/atlanta_dream_jordin_canada/headshot.png.approved,true,approved,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_jordin_canada__1628886.png; approved_at_utc=2026-06-16T04:22:55.094019+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,review_only_manual_source_recheck_required: default_decision_source_manual_recheck_required,catalog_only_no_auto_approval_no_file_movement
atlanta_dream_madina_okot,Madina Okot,atlanta_dream,WNBA,,https://dream.wnba.com/roster,,cutout,assets/leagues/wnba/athletes/atlanta_dream_madina_okot/cutout.png,false,assets/leagues/wnba/athletes/atlanta_dream_madina_okot/cutout.png.approved,false,missing,missing_asset_not_renderable,missing_asset_review_required,cutout_not_onboarded,athlete_images_registry; source_note=missing_review_required,asset_file_missing; cutout_slot_requires_manual_crop_review,review_only_not_renderable_until_approved,catalog_only_no_auto_approval_no_file_movement
atlanta_dream_madina_okot,Madina Okot,atlanta_dream,WNBA,1643431,https://cdn.wnba.com/headshots/wnba/latest/260x190/1643431.png,0.72,headshot,assets/leagues/wnba/athletes/atlanta_dream_madina_okot/headshot.png,true,assets/leagues/wnba/athletes/atlanta_dream_madina_okot/headshot.png.approved,true,approved,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_madina_okot__1643431.png; approved_at_utc=2026-06-16T04:22:55.094933+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,review_only_manual_source_recheck_required: default_decision_source_manual_recheck_required,catalog_only_no_auto_approval_no_file_movement
atlanta_dream_naz_hillmon,Naz Hillmon,atlanta_dream,WNBA,,https://dream.wnba.com/roster,,cutout,assets/leagues/wnba/athletes/atlanta_dream_naz_hillmon/cutout.png,false,assets/leagues/wnba/athletes/atlanta_dream_naz_hillmon/cutout.png.approved,false,missing,missing_asset_not_renderable,missing_asset_review_required,cutout_not_onboarded,athlete_images_registry; source_note=missing_review_required,asset_file_missing; cutout_slot_requires_manual_crop_review,review_only_not_renderable_until_approved,catalog_only_no_auto_approval_no_file_movement
atlanta_dream_naz_hillmon,Naz Hillmon,atlanta_dream,WNBA,1631044,https://cdn.wnba.com/headshots/wnba/latest/260x190/1631044.png,0.72,headshot,assets/leagues/wnba/athletes/atlanta_dream_naz_hillmon/headshot.png,true,assets/leagues/wnba/athletes/atlanta_dream_naz_hillmon/headshot.png.approved,true,approved,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_naz_hillmon__1631044.png; approved_at_utc=2026-06-16T04:22:55.093000+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,review_only_manual_source_recheck_required: default_decision_source_manual_recheck_required,catalog_only_no_auto_approval_no_file_movement
