team_id,athlete_id,display_name,provider_player_id,image_url,match_method,confidence,status,approval_target_path,notes
atlanta_dream,atlanta_dream_naz_hillmon,Naz Hillmon,1631044,https://cdn.wnba.com/headshots/wnba/latest/260x190/1631044.png,human_verified_contact_sheet_review,1.00,human_verified_review_only,assets/leagues/wnba/athletes/atlanta_dream_naz_hillmon/headshot.png,closed_by_human_athlete_photo_contact_sheet_sweep; review_only_renderer_use; no_downloads_no_file_movement_no_publish_ready_lane
atlanta_dream,atlanta_dream_amy_okonkwo,Amy Okonkwo,1629539,https://cdn.wnba.com/headshots/wnba/latest/260x190/1629539.png,human_verified_contact_sheet_review,1.00,human_verified_review_only,assets/leagues/wnba/athletes/atlanta_dream_amy_okonkwo/headshot.png,closed_by_human_athlete_photo_contact_sheet_sweep; review_only_renderer_use; no_downloads_no_file_movement_no_publish_ready_lane
atlanta_dream,atlanta_dream_te_hina_paopao,Te-Hina Paopao,1642804,https://cdn.wnba.com/headshots/wnba/latest/260x190/1642804.png,human_verified_contact_sheet_review,1.00,human_verified_review_only,assets/leagues/wnba/athletes/atlanta_dream_te_hina_paopao/headshot.png,closed_by_human_athlete_photo_contact_sheet_sweep; review_only_renderer_use; no_downloads_no_file_movement_no_publish_ready_lane
atlanta_dream,atlanta_dream_jordin_canada,Jordin Canada,1628886,https://cdn.wnba.com/headshots/wnba/latest/260x190/1628886.png,human_verified_contact_sheet_review,1.00,human_verified_review_only,assets/leagues/wnba/athletes/atlanta_dream_jordin_canada/headshot.png,closed_by_human_athlete_photo_contact_sheet_sweep; review_only_renderer_use; no_downloads_no_file_movement_no_publish_ready_lane
atlanta_dream,atlanta_dream_angel_reese,Angel Reese,1642291,https://cdn.wnba.com/headshots/wnba/latest/260x190/1642291.png,human_verified_contact_sheet_review,1.00,human_verified_review_only,assets/leagues/wnba/athletes/atlanta_dream_angel_reese/headshot.png,closed_by_human_athlete_photo_contact_sheet_sweep; review_only_renderer_use; no_downloads_no_file_movement_no_publish_ready_lane
atlanta_dream,atlanta_dream_rhyne_howard,Rhyne Howard,1631009,https://cdn.wnba.com/headshots/wnba/latest/260x190/1631009.png,human_verified_contact_sheet_review,1.00,human_verified_review_only,assets/leagues/wnba/athletes/atlanta_dream_rhyne_howard/headshot.png,closed_by_human_athlete_photo_contact_sheet_sweep; review_only_renderer_use; no_downloads_no_file_movement_no_publish_ready_lane
atlanta_dream,atlanta_dream_madina_okot,Madina Okot,1643431,https://cdn.wnba.com/headshots/wnba/latest/260x190/1643431.png,human_verified_contact_sheet_review,1.00,human_verified_review_only,assets/leagues/wnba/athletes/atlanta_dream_madina_okot/headshot.png,closed_by_human_athlete_photo_contact_sheet_sweep; review_only_renderer_use; no_downloads_no_file_movement_no_publish_ready_lane
atlanta_dream,atlanta_dream_allisha_gray,Allisha Gray,1628277,https://cdn.wnba.com/headshots/wnba/latest/260x190/1628277.png,human_verified_contact_sheet_review,1.00,human_verified_review_only,assets/leagues/wnba/athletes/atlanta_dream_allisha_gray/headshot.png,closed_by_human_athlete_photo_contact_sheet_sweep; review_only_renderer_use; no_downloads_no_file_movement_no_publish_ready_lane
atlanta_dream,atlanta_dream_isobel_borlase,Isobel Borlase,1642302,https://cdn.wnba.com/headshots/wnba/latest/260x190/1642302.png,human_verified_contact_sheet_review,1.00,human_verified_review_only,assets/leagues/wnba/athletes/atlanta_dream_isobel_borlase/headshot.png,closed_by_human_athlete_photo_contact_sheet_sweep; review_only_renderer_use; no_downloads_no_file_movement_no_publish_ready_lane
atlanta_dream,atlanta_dream_indya_nivar,Indya Nivar,1643469,https://cdn.wnba.com/headshots/wnba/latest/260x190/1643469.png,human_verified_contact_sheet_review,1.00,human_verified_review_only,assets/leagues/wnba/athletes/atlanta_dream_indya_nivar/headshot.png,closed_by_human_athlete_photo_contact_sheet_sweep; review_only_renderer_use; no_downloads_no_file_movement_no_publish_ready_lane
