"team_id","asset_type","file_path","file_exists","approved","required","last_verified_utc","source_note"
"atlanta_dream","primary_logo","assets/leagues/wnba/teams/atlanta_dream/logo.png","true","true","true","2026-06-26T21:40:01.017696+00:00","human_approved_contact_sheet_official_team_source_for_review_only_renderer_use"
"chicago_sky","primary_logo","assets/leagues/wnba/teams/chicago_sky/logo.png","true","true","true","2026-06-26T21:40:01.017696+00:00","human_approved_contact_sheet_official_team_source_for_review_only_renderer_use"
"connecticut_sun","primary_logo","assets/leagues/wnba/teams/connecticut_sun/logo.png","true","true","true","2026-06-26T21:40:01.017696+00:00","human_approved_contact_sheet_official_team_source_for_review_only_renderer_use"
"indiana_fever","primary_logo","assets/leagues/wnba/teams/indiana_fever/logo.png","true","true","true","2026-06-26T21:40:01.017696+00:00","human_approved_contact_sheet_official_team_source_for_review_only_renderer_use"
"new_york_liberty","primary_logo","assets/leagues/wnba/teams/new_york_liberty/logo.png","true","true","true","2026-06-26T21:40:01.017696+00:00","human_approved_contact_sheet_official_team_source_for_review_only_renderer_use"
"toronto_tempo","primary_logo","assets/leagues/wnba/teams/toronto_tempo/logo.png","true","true","true","2026-06-26T21:40:01.017696+00:00","human_approved_contact_sheet_official_team_source_for_review_only_renderer_use"
"washington_mystics","primary_logo","assets/leagues/wnba/teams/washington_mystics/logo.png","true","true","true","2026-06-26T21:40:01.017696+00:00","human_approved_contact_sheet_official_team_source_for_review_only_renderer_use"
"dallas_wings","primary_logo","assets/leagues/wnba/teams/dallas_wings/logo.png","true","true","true","2026-06-26T21:40:01.017696+00:00","human_approved_contact_sheet_official_team_source_for_review_only_renderer_use"
"golden_state_valkyries","primary_logo","assets/leagues/wnba/teams/golden_state_valkyries/logo.png","true","true","true","2026-06-26T21:40:01.017696+00:00","human_approved_contact_sheet_official_team_source_for_review_only_renderer_use"
"las_vegas_aces","primary_logo","assets/leagues/wnba/teams/las_vegas_aces/logo.png","true","true","true","2026-06-26T21:40:01.017696+00:00","human_approved_contact_sheet_official_team_source_for_review_only_renderer_use"
"los_angeles_sparks","primary_logo","assets/leagues/wnba/teams/los_angeles_sparks/logo.png","true","true","true","2026-06-26T21:40:01.017696+00:00","human_approved_contact_sheet_official_team_source_for_review_only_renderer_use"
"minnesota_lynx","primary_logo","assets/leagues/wnba/teams/minnesota_lynx/logo.png","true","true","true","2026-06-26T21:40:01.017696+00:00","human_approved_contact_sheet_official_team_source_for_review_only_renderer_use"
"phoenix_mercury","primary_logo","assets/leagues/wnba/teams/phoenix_mercury/logo.png","true","true","true","2026-06-26T21:40:01.017696+00:00","human_approved_contact_sheet_official_team_source_for_review_only_renderer_use"
"portland_fire","primary_logo","assets/leagues/wnba/teams/portland_fire/logo.png","true","true","true","2026-06-26T21:40:01.017696+00:00","human_approved_contact_sheet_official_team_source_for_review_only_renderer_use"
"seattle_storm","primary_logo","assets/leagues/wnba/teams/seattle_storm/logo.png","true","true","true","2026-06-26T21:40:01.017696+00:00","human_approved_contact_sheet_official_team_source_for_review_only_renderer_use"
