name_variant,entity_id,type
Leger-Walker,connecticut_sun_charlisse_leger_walker,auto_alias
Charlisse Leger Walker,connecticut_sun_charlisse_leger_walker,auto_alias
C. Leger-Walker,connecticut_sun_charlisse_leger_walker,auto_alias
D. Miller,connecticut_sun_diamond_miller,auto_alias
Miller,connecticut_sun_diamond_miller,auto_alias
diamond miller,connecticut_sun_diamond_miller,auto_alias
Gianna Kneepkens,connecticut_sun_gianna_kneepkens,canonical
G. Kneepkens,connecticut_sun_gianna_kneepkens,auto_alias
Kneepkens,connecticut_sun_gianna_kneepkens,auto_alias
hailey van lith,connecticut_sun_hailey_van_lith,auto_alias
H. Lith,connecticut_sun_hailey_van_lith,auto_alias
Lith,connecticut_sun_hailey_van_lith,auto_alias
Kennedy Burke,connecticut_sun_kennedy_burke,canonical
Burke,connecticut_sun_kennedy_burke,auto_alias
K. Burke,connecticut_sun_kennedy_burke,auto_alias
L. Lacan,connecticut_sun_leila_lacan,auto_alias
Leila Lacan,connecticut_sun_leila_lacan,canonical
Lacan,connecticut_sun_leila_lacan,auto_alias
N. Angloma,connecticut_sun_nell_angloma,auto_alias
nell angloma,connecticut_sun_nell_angloma,auto_alias
Angloma,connecticut_sun_nell_angloma,auto_alias
O. Nelson-Ododa,connecticut_sun_olivia_nelson_ododa,auto_alias
Nelson-Ododa,connecticut_sun_olivia_nelson_ododa,auto_alias
Olivia Nelson Ododa,connecticut_sun_olivia_nelson_ododa,auto_alias
Olivia Nelson-Ododa,connecticut_sun_olivia_nelson_ododa,canonical
raegan beers,connecticut_sun_raegan_beers,auto_alias
R. Beers,connecticut_sun_raegan_beers,auto_alias
Beers,connecticut_sun_raegan_beers,auto_alias
Rivers,connecticut_sun_saniya_rivers,auto_alias
saniya rivers,connecticut_sun_saniya_rivers,auto_alias
S. Rivers,connecticut_sun_saniya_rivers,auto_alias
Smith,dallas_wings_alanna_smith,auto_alias
Alanna Smith,dallas_wings_alanna_smith,canonical
A. Smith,dallas_wings_alanna_smith,auto_alias
Clark,dallas_wings_alysha_clark,auto_alias
alysha clark,dallas_wings_alysha_clark,auto_alias
A. Clark,dallas_wings_alysha_clark,auto_alias
A. Ogunbowale,dallas_wings_arike_ogunbowale,auto_alias
arike ogunbowale,dallas_wings_arike_ogunbowale,auto_alias
Ogunbowale,dallas_wings_arike_ogunbowale,auto_alias
awak kuier,dallas_wings_awak_kuier,auto_alias
Kuier,dallas_wings_awak_kuier,auto_alias
A. Kuier,dallas_wings_awak_kuier,auto_alias
James,dallas_wings_aziaha_james,auto_alias
Aziaha James,dallas_wings_aziaha_james,canonical
A. James,dallas_wings_aziaha_james,auto_alias
Fudd,dallas_wings_azzi_fudd,auto_alias
Azzi Fudd,dallas_wings_azzi_fudd,canonical
A. Fudd,dallas_wings_azzi_fudd,auto_alias
costanza verona,dallas_wings_costanza_verona,auto_alias
C. Verona,dallas_wings_costanza_verona,auto_alias
Verona,dallas_wings_costanza_verona,auto_alias
Shepard,dallas_wings_jessica_shepard,auto_alias
jessica shepard,dallas_wings_jessica_shepard,auto_alias
J. Shepard,dallas_wings_jessica_shepard,auto_alias
Li Yueru,dallas_wings_li_yueru,canonical
L. Yueru,dallas_wings_li_yueru,auto_alias
Yueru,dallas_wings_li_yueru,auto_alias
Siegrist,dallas_wings_maddy_siegrist,auto_alias
maddy siegrist,dallas_wings_maddy_siegrist,auto_alias
M. Siegrist,dallas_wings_maddy_siegrist,auto_alias
Odyssey Sims,dallas_wings_odyssey_sims,canonical
O. Sims,dallas_wings_odyssey_sims,auto_alias
Sims,dallas_wings_odyssey_sims,auto_alias
Bueckers,dallas_wings_paige_bueckers,auto_alias
P. Bueckers,dallas_wings_paige_bueckers,auto_alias
paige bueckers,dallas_wings_paige_bueckers,auto_alias
sug sutton,dallas_wings_sug_sutton,auto_alias
Sutton,dallas_wings_sug_sutton,auto_alias
S. Sutton,dallas_wings_sug_sutton,auto_alias
Prechtel,golden_state_valkyries_ashten_prechtel,auto_alias
Ashten Prechtel,golden_state_valkyries_ashten_prechtel,canonical
A. Prechtel,golden_state_valkyries_ashten_prechtel,auto_alias
Cecilia Zandalasini,golden_state_valkyries_cecilia_zandalasini,canonical
C. Zandalasini,golden_state_valkyries_cecilia_zandalasini,auto_alias
Zandalasini,golden_state_valkyries_cecilia_zandalasini,auto_alias
G. Williams,golden_state_valkyries_gabby_williams,auto_alias
gabby williams,golden_state_valkyries_gabby_williams,auto_alias
Williams,golden_state_valkyries_gabby_williams,auto_alias
Rupert,golden_state_valkyries_iliana_rupert,auto_alias
Iliana Rupert,golden_state_valkyries_iliana_rupert,canonical
I. Rupert,golden_state_valkyries_iliana_rupert,auto_alias
Salaun,golden_state_valkyries_janelle_salaun,auto_alias
Janelle Salaun,golden_state_valkyries_janelle_salaun,canonical
J. Salaun,golden_state_valkyries_janelle_salaun,auto_alias
J. Jocyte,golden_state_valkyries_juste_jocyte,auto_alias
Jocyte,golden_state_valkyries_juste_jocyte,auto_alias
juste jocyte,golden_state_valkyries_juste_jocyte,auto_alias
Kaila Charles,golden_state_valkyries_kaila_charles,canonical
K. Charles,golden_state_valkyries_kaila_charles,auto_alias
Charles,golden_state_valkyries_kaila_charles,auto_alias
Chen,golden_state_valkyries_kaitlyn_chen,auto_alias
K. Chen,golden_state_valkyries_kaitlyn_chen,auto_alias
Kaitlyn Chen,golden_state_valkyries_kaitlyn_chen,canonical
kayla thornton,golden_state_valkyries_kayla_thornton,auto_alias
Thornton,golden_state_valkyries_kayla_thornton,auto_alias
K. Thornton,golden_state_valkyries_kayla_thornton,auto_alias
K. Stokes,golden_state_valkyries_kiah_stokes,auto_alias
kiah stokes,golden_state_valkyries_kiah_stokes,auto_alias
Stokes,golden_state_valkyries_kiah_stokes,auto_alias
L. Amihere,golden_state_valkyries_laeticia_amihere,auto_alias
Amihere,golden_state_valkyries_laeticia_amihere,auto_alias
laeticia amihere,golden_state_valkyries_laeticia_amihere,auto_alias
M. Sowah,golden_state_valkyries_miela_sowah,auto_alias
Miela Sowah,golden_state_valkyries_miela_sowah,canonical
Sowah,golden_state_valkyries_miela_sowah,auto_alias
Fingall,golden_state_valkyries_nadia_fingall,auto_alias
Nadia Fingall,golden_state_valkyries_nadia_fingall,canonical
N. Fingall,golden_state_valkyries_nadia_fingall,auto_alias
T. Hayes,golden_state_valkyries_tiffany_hayes,auto_alias
Tiffany Hayes,golden_state_valkyries_tiffany_hayes,canonical
Hayes,golden_state_valkyries_tiffany_hayes,auto_alias
Veronica Burton,golden_state_valkyries_veronica_burton,canonical
Burton,golden_state_valkyries_veronica_burton,auto_alias
V. Burton,golden_state_valkyries_veronica_burton,auto_alias
Aliyah Boston,indiana_fever_aliyah_boston,canonical
A. Boston,indiana_fever_aliyah_boston,auto_alias
Boston,indiana_fever_aliyah_boston,auto_alias
B. Hall,indiana_fever_bree_hall,auto_alias
Hall,indiana_fever_bree_hall,auto_alias
Bree Hall,indiana_fever_bree_hall,canonical
Caitlin Clark,indiana_fever_caitlin_clark,canonical
Clark,indiana_fever_caitlin_clark,auto_alias
C. Clark,indiana_fever_caitlin_clark,auto_alias
Dantas,indiana_fever_damiris_dantas,auto_alias
Damiris Dantas,indiana_fever_damiris_dantas,canonical
D. Dantas,indiana_fever_damiris_dantas,auto_alias
VanSlooten,indiana_fever_grace_vanslooten,auto_alias
grace vanslooten,indiana_fever_grace_vanslooten,auto_alias
G. VanSlooten,indiana_fever_grace_vanslooten,auto_alias
J. Pissott,indiana_fever_justine_pissott,auto_alias
Pissott,indiana_fever_justine_pissott,auto_alias
justine pissott,indiana_fever_justine_pissott,auto_alias
K. Mitchell,indiana_fever_kelsey_mitchell,auto_alias
kelsey mitchell,indiana_fever_kelsey_mitchell,auto_alias
Mitchell,indiana_fever_kelsey_mitchell,auto_alias
Hull,indiana_fever_lexie_hull,auto_alias
lexie hull,indiana_fever_lexie_hull,auto_alias
L. Hull,indiana_fever_lexie_hull,auto_alias
makayla timpson,indiana_fever_makayla_timpson,auto_alias
M. Timpson,indiana_fever_makayla_timpson,auto_alias
Timpson,indiana_fever_makayla_timpson,auto_alias
Billings,indiana_fever_monique_billings,auto_alias
M. Billings,indiana_fever_monique_billings,auto_alias
Monique Billings,indiana_fever_monique_billings,canonical
myisha hines-allen,indiana_fever_myisha_hines_allen,auto_alias
Hines-Allen,indiana_fever_myisha_hines_allen,auto_alias
M. Hines-Allen,indiana_fever_myisha_hines_allen,auto_alias
Myisha Hines Allen,indiana_fever_myisha_hines_allen,auto_alias
Raven Johnson,indiana_fever_raven_johnson,canonical
R. Johnson,indiana_fever_raven_johnson,auto_alias
Johnson,indiana_fever_raven_johnson,auto_alias
S. Cunningham,indiana_fever_sophie_cunningham,auto_alias
Cunningham,indiana_fever_sophie_cunningham,auto_alias
Sophie Cunningham,indiana_fever_sophie_cunningham,canonical
T. Harris,indiana_fever_tyasha_harris,auto_alias
tyasha harris,indiana_fever_tyasha_harris,auto_alias
Harris,indiana_fever_tyasha_harris,auto_alias
A. Wilson,las_vegas_aces_a_ja_wilson,auto_alias
A ja Wilson,las_vegas_aces_a_ja_wilson,auto_alias
a'ja wilson,las_vegas_aces_a_ja_wilson,auto_alias
Wilson,las_vegas_aces_a_ja_wilson,auto_alias
B. Turner,las_vegas_aces_brianna_turner,auto_alias
Brianna Turner,las_vegas_aces_brianna_turner,canonical
Turner,las_vegas_aces_brianna_turner,auto_alias
Chelsea Gray,las_vegas_aces_chelsea_gray,canonical
C. Gray,las_vegas_aces_chelsea_gray,auto_alias
Gray,las_vegas_aces_chelsea_gray,auto_alias
chennedy carter,las_vegas_aces_chennedy_carter,auto_alias
Carter,las_vegas_aces_chennedy_carter,auto_alias
C. Carter,las_vegas_aces_chennedy_carter,auto_alias
Parker-Tyus,las_vegas_aces_cheyenne_parker_tyus,auto_alias
Cheyenne Parker-Tyus,las_vegas_aces_cheyenne_parker_tyus,canonical
C. Parker-Tyus,las_vegas_aces_cheyenne_parker_tyus,auto_alias
Cheyenne Parker Tyus,las_vegas_aces_cheyenne_parker_tyus,auto_alias
Dana Evans,las_vegas_aces_dana_evans,canonical
Evans,las_vegas_aces_dana_evans,auto_alias
D. Evans,las_vegas_aces_dana_evans,auto_alias
J. Young,las_vegas_aces_jackie_young,auto_alias
Young,las_vegas_aces_jackie_young,auto_alias
jackie young,las_vegas_aces_jackie_young,auto_alias
janiah barker,las_vegas_aces_janiah_barker,auto_alias
Barker,las_vegas_aces_janiah_barker,auto_alias
J. Barker,las_vegas_aces_janiah_barker,auto_alias
jewell loyd,las_vegas_aces_jewell_loyd,auto_alias
Loyd,las_vegas_aces_jewell_loyd,auto_alias
J. Loyd,las_vegas_aces_jewell_loyd,auto_alias
K. Bell,las_vegas_aces_kierstan_bell,auto_alias
Bell,las_vegas_aces_kierstan_bell,auto_alias
Kierstan Bell,las_vegas_aces_kierstan_bell,canonical
nalyssa smith,las_vegas_aces_nalyssa_smith,auto_alias
N. Smith,las_vegas_aces_nalyssa_smith,auto_alias
Smith,las_vegas_aces_nalyssa_smith,auto_alias
Stephanie Talbot,las_vegas_aces_stephanie_talbot,canonical
S. Talbot,las_vegas_aces_stephanie_talbot,auto_alias
Talbot,las_vegas_aces_stephanie_talbot,auto_alias
A. Atkins,los_angeles_sparks_ariel_atkins,auto_alias
Ariel Atkins,los_angeles_sparks_ariel_atkins,canonical
Atkins,los_angeles_sparks_ariel_atkins,auto_alias
Cameron Brink,los_angeles_sparks_cameron_brink,canonical
Brink,los_angeles_sparks_cameron_brink,auto_alias
C. Brink,los_angeles_sparks_cameron_brink,auto_alias
Chance Gray,los_angeles_sparks_chance_gray,canonical
C. Gray,los_angeles_sparks_chance_gray,auto_alias
Gray,los_angeles_sparks_chance_gray,auto_alias
D. Hamby,los_angeles_sparks_dearica_hamby,auto_alias
dearica hamby,los_angeles_sparks_dearica_hamby,auto_alias
Hamby,los_angeles_sparks_dearica_hamby,auto_alias
E. Cannon,los_angeles_sparks_emma_cannon,auto_alias
Cannon,los_angeles_sparks_emma_cannon,auto_alias
Emma Cannon,los_angeles_sparks_emma_cannon,canonical
Wheeler,los_angeles_sparks_erica_wheeler,auto_alias
Erica Wheeler,los_angeles_sparks_erica_wheeler,canonical
E. Wheeler,los_angeles_sparks_erica_wheeler,auto_alias
