event_id,league_label,matchup,game_state,winner,loser,final_score,top_performer_1,top_performer_1_statline,top_performer_2,top_performer_2_statline,period_summary,confidence,manual_review_flag,source_url
401856966,WNBA,Seattle Storm at Minnesota Lynx,Final,Minnesota Lynx,Seattle Storm,Seattle Storm 68 - Minnesota Lynx 88,Natasha Howard,"PTS 27, REB 5, AST 1, STL 3, BLK 2",Olivia Miles,"PTS 19, REB 6, AST 6, STL 1, FG 9-14",MIN: 16 | 29 | 26 | 17 || SEA: 24 | 19 | 10 | 15,High,No,https://www.espn.com/basketball/game/_/gameId/401856966
401856967,WNBA,Golden State Valkyries at Las Vegas Aces,Final,Las Vegas Aces,Golden State Valkyries,Golden State Valkyries 79 - Las Vegas Aces 84,A'ja Wilson,"PTS 28, REB 14, AST 3, FG 9-17, 3PT 2-4",Gabby Williams,"PTS 27, REB 6, AST 1, STL 2, FG 10-17",LV: 20 | 18 | 20 | 26 || GS: 13 | 22 | 20 | 24,High,No,https://www.espn.com/basketball/game/_/gameId/401856967
401856968,WNBA,Washington Mystics at Atlanta Dream,Final,Atlanta Dream,Washington Mystics,Washington Mystics 77 - Atlanta Dream 109,Angel Reese,"PTS 18, REB 17, STL 4, BLK 1, FG 4-9",Rhyne Howard,"PTS 19, AST 3, STL 6, BLK 1, FG 6-11",ATL: 28 | 18 | 32 | 31 || WSH: 20 | 14 | 18 | 25,High,No,https://www.espn.com/basketball/game/_/gameId/401856968
401856969,WNBA,Indiana Fever at New York Liberty,Final,New York Liberty,Indiana Fever,Indiana Fever 75 - New York Liberty 83,Breanna Stewart,"PTS 30, REB 8, AST 2, STL 4, FG 6-15",Aliyah Boston,"PTS 13, REB 9, AST 1, STL 1, BLK 3",NY: 21 | 16 | 17 | 29 || IND: 25 | 15 | 17 | 18,High,No,https://www.espn.com/basketball/game/_/gameId/401856969
401856970,WNBA,Chicago Sky at Toronto Tempo,Final,Toronto Tempo,Chicago Sky,Chicago Sky 68 - Toronto Tempo 85,Brittney Sykes,"PTS 25, REB 7, AST 3, STL 1, FG 9-23",Azura Stevens,"PTS 18, REB 10, FG 8-15, 3PT 0-4, FT 2-2",TOR: 29 | 19 | 22 | 15 || CHI: 15 | 18 | 20 | 15,High,No,https://www.espn.com/basketball/game/_/gameId/401856970
401856971,WNBA,Portland Fire at Los Angeles Sparks,Final,Los Angeles Sparks,Portland Fire,Portland Fire 72 - Los Angeles Sparks 89,Nneka Ogwumike,"PTS 20, REB 17, AST 2, STL 2, FG 8-14",Dearica Hamby,"PTS 22, REB 12, STL 2, BLK 1, FG 8-14",LA: 24 | 17 | 23 | 25 || POR: 21 | 22 | 12 | 17,High,No,https://www.espn.com/basketball/game/_/gameId/401856971
401856972,WNBA,New York Liberty at Connecticut Sun,Upcoming,,,New York Liberty 0 - Connecticut Sun 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856972
401856973,WNBA,Indiana Fever at Washington Mystics,Upcoming,,,Indiana Fever 0 - Washington Mystics 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856973
401856974,WNBA,Seattle Storm at Las Vegas Aces,Upcoming,,,Seattle Storm 0 - Las Vegas Aces 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856974
