scope_id,league_id,league_name,entity_type,entity_id,display_name,country,asset_slot,local_logo_path,logo_image_path,logo_file_exists,current_source_url,official_source_candidate,current_approval_status,manual_review_status,operator_action,allowed_decisions,human_intake_file,review_only,publish_ready,auto_approval,auto_publish,move_files,paid_apis,asset_downloads
nwsl,nwsl,National Women's Soccer League,team,orlando_pride,Orlando Pride,Orlando,primary_logo,assets/leagues/womens_soccer/nwsl/teams/orlando_pride/logo.png,assets/leagues/womens_soccer/nwsl/teams/orlando_pride/logo.png,false,https://www.nwslsoccer.com/teams/c3e9513e280b41e5bfbb8230076e8c43/orlando-pride/index,https://www.nwslsoccer.com/teams/c3e9513e280b41e5bfbb8230076e8c43/orlando-pride/index,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
nwsl,nwsl,National Women's Soccer League,team,portland_thorns_fc,Portland Thorns FC,Portland,primary_logo,assets/leagues/womens_soccer/nwsl/teams/portland_thorns_fc/logo.png,assets/leagues/womens_soccer/nwsl/teams/portland_thorns_fc/logo.png,false,https://www.nwslsoccer.com/teams/96ba7b37bd8544a1a7329183459150ff/portland-thorns-fc/index,https://www.nwslsoccer.com/teams/96ba7b37bd8544a1a7329183459150ff/portland-thorns-fc/index,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
nwsl,nwsl,National Women's Soccer League,team,racing_louisville_fc,Racing Louisville FC,Louisville,primary_logo,assets/leagues/womens_soccer/nwsl/teams/racing_louisville_fc/logo.png,assets/leagues/womens_soccer/nwsl/teams/racing_louisville_fc/logo.png,false,https://www.nwslsoccer.com/teams/ac29701756da44a08457762380c10733/racing-louisville-fc/index,https://www.nwslsoccer.com/teams/ac29701756da44a08457762380c10733/racing-louisville-fc/index,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
nwsl,nwsl,National Women's Soccer League,team,san_diego_wave_fc,San Diego Wave FC,San Diego,primary_logo,assets/leagues/womens_soccer/nwsl/teams/san_diego_wave_fc/logo.png,assets/leagues/womens_soccer/nwsl/teams/san_diego_wave_fc/logo.png,false,https://www.nwslsoccer.com/teams/ca719042b34443c4bcfe380ca4850eaf/san-diego-wave-fc/index,https://www.nwslsoccer.com/teams/ca719042b34443c4bcfe380ca4850eaf/san-diego-wave-fc/index,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
nwsl,nwsl,National Women's Soccer League,team,seattle_reign,Seattle Reign,Seattle,primary_logo,assets/leagues/womens_soccer/nwsl/teams/seattle_reign/logo.png,assets/leagues/womens_soccer/nwsl/teams/seattle_reign/logo.png,false,https://www.nwslsoccer.com/teams/1151140adfc24339ba1c93cb0b6b0238/seattle-reign/index,https://www.nwslsoccer.com/teams/1151140adfc24339ba1c93cb0b6b0238/seattle-reign/index,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
nwsl,nwsl,National Women's Soccer League,team,utah_royals_fc,Utah Royals FC,Sandy,primary_logo,assets/leagues/womens_soccer/nwsl/teams/utah_royals_fc/logo.png,assets/leagues/womens_soccer/nwsl/teams/utah_royals_fc/logo.png,false,https://www.nwslsoccer.com/teams/acffc559cf7d485a9c05fa23ab57054b/utah-royals-fc/index,https://www.nwslsoccer.com/teams/acffc559cf7d485a9c05fa23ab57054b/utah-royals-fc/index,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
nwsl,nwsl,National Women's Soccer League,team,washington_spirit,Washington Spirit,Washington,primary_logo,assets/leagues/womens_soccer/nwsl/teams/washington_spirit/logo.png,assets/leagues/womens_soccer/nwsl/teams/washington_spirit/logo.png,false,https://www.nwslsoccer.com/teams/c31d72afc09f42ee86418633aa41390a/washington-spirit/index,https://www.nwslsoccer.com/teams/c31d72afc09f42ee86418633aa41390a/washington-spirit/index,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,wsl_england,Barclays Women's Super League,league,wsl_england,Barclays Women's Super League,England,league_mark,assets/leagues/womens_soccer/europe_top_flight/wsl_england/league_mark.png,assets/leagues/womens_soccer/europe_top_flight/wsl_england/league_mark.png,false,https://www.wslfootball.com/,https://www.wslfootball.com/,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,liga_f_spain,Liga F Moeve,league,liga_f_spain,Liga F Moeve,Spain,league_mark,assets/leagues/womens_soccer/europe_top_flight/liga_f_spain/league_mark.png,assets/leagues/womens_soccer/europe_top_flight/liga_f_spain/league_mark.png,false,https://www.laliga.com/en-GB/futbol-femenino,https://www.laliga.com/en-GB/futbol-femenino,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,frauen_bundesliga_germany,Google Pixel Womens Bundesliga,league,frauen_bundesliga_germany,Google Pixel Womens Bundesliga,Germany,league_mark,assets/leagues/womens_soccer/europe_top_flight/frauen_bundesliga_germany/league_mark.png,assets/leagues/womens_soccer/europe_top_flight/frauen_bundesliga_germany/league_mark.png,false,https://frauen-bundesliga.dfb.de/google-pixel-frauen-bundesliga/ergebnisse-und-tabelle/,https://frauen-bundesliga.dfb.de/google-pixel-frauen-bundesliga/ergebnisse-und-tabelle/,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
