team_id,athlete_id,display_name,provider_player_id,image_url,download_status,downloaded_file,bytes,reason
chicago_sky,chicago_sky_maddy_westbeld,Maddy Westbeld,1642818,https://cdn.wnba.com/headshots/wnba/latest/260x190/1642818.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_maddy_westbeld__1642818.png,25005,
chicago_sky,chicago_sky_courtney_vandersloot,Courtney Vandersloot,202664,https://cdn.wnba.com/headshots/wnba/latest/260x190/202664.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_courtney_vandersloot__202664.png,15316,
chicago_sky,chicago_sky_rachel_banham,Rachel Banham,1627671,https://cdn.wnba.com/headshots/wnba/latest/260x190/1627671.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_rachel_banham__1627671.png,17044,
chicago_sky,chicago_sky_azura_stevens,Azura Stevens,1628922,https://cdn.wnba.com/headshots/wnba/latest/260x190/1628922.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_azura_stevens__1628922.png,20605,
chicago_sky,chicago_sky_aicha_coulibaly,Aicha Coulibaly,1642786,https://cdn.wnba.com/headshots/wnba/latest/260x190/1642786.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_aicha_coulibaly__1642786.png,17365,
connecticut_sun,connecticut_sun_diamond_miller,Diamond Miller,1641649,https://cdn.wnba.com/headshots/wnba/latest/260x190/1641649.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_diamond_miller__1641649.png,19697,
connecticut_sun,connecticut_sun_hailey_van_lith,Hailey Van Lith,1642817,https://cdn.wnba.com/headshots/wnba/latest/260x190/1642817.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_hailey_van_lith__1642817.png,19019,
connecticut_sun,connecticut_sun_ashlon_jackson,Ashlon Jackson,1643437,https://cdn.wnba.com/headshots/wnba/latest/260x190/1643437.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_ashlon_jackson__1643437.png,19203,
connecticut_sun,connecticut_sun_charlisse_leger_walker,Charlisse Leger-Walker,1643449,https://cdn.wnba.com/headshots/wnba/latest/260x190/1643449.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_charlisse_leger_walker__1643449.png,24513,
connecticut_sun,connecticut_sun_gianna_kneepkens,Gianna Kneepkens,1643429,https://cdn.wnba.com/headshots/wnba/latest/260x190/1643429.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_gianna_kneepkens__1643429.png,20364,
connecticut_sun,connecticut_sun_aaliyah_edwards,Aaliyah Edwards,1642290,https://cdn.wnba.com/headshots/wnba/latest/260x190/1642290.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_aaliyah_edwards__1642290.png,16097,
connecticut_sun,connecticut_sun_olivia_nelson_ododa,Olivia Nelson-Ododa,1631135,https://cdn.wnba.com/headshots/wnba/latest/260x190/1631135.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_olivia_nelson_ododa__1631135.png,18832,
connecticut_sun,connecticut_sun_raegan_beers,Raegan Beers,1643441,https://cdn.wnba.com/headshots/wnba/latest/260x190/1643441.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_raegan_beers__1643441.png,21001,
connecticut_sun,connecticut_sun_saniya_rivers,Saniya Rivers,1642809,https://cdn.wnba.com/headshots/wnba/latest/260x190/1642809.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_saniya_rivers__1642809.png,20009,
connecticut_sun,connecticut_sun_aneesah_morrow,Aneesah Morrow,1642800,https://cdn.wnba.com/headshots/wnba/latest/260x190/1642800.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_aneesah_morrow__1642800.png,19056,
connecticut_sun,connecticut_sun_kennedy_burke,Kennedy Burke,1629568,https://cdn.wnba.com/headshots/wnba/latest/260x190/1629568.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_kennedy_burke__1629568.png,16436,
connecticut_sun,connecticut_sun_nell_angloma,Nell Angloma,1643448,https://cdn.wnba.com/headshots/wnba/latest/260x190/1643448.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_nell_angloma__1643448.png,15340,
connecticut_sun,connecticut_sun_brittney_griner,Brittney Griner,203398,https://cdn.wnba.com/headshots/wnba/latest/260x190/203398.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_brittney_griner__203398.png,19270,
connecticut_sun,connecticut_sun_leila_lacan,Leila Lacan,1642303,https://cdn.wnba.com/headshots/wnba/latest/260x190/1642303.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_leila_lacan__1642303.png,15654,
indiana_fever,indiana_fever_kelsey_mitchell,Kelsey Mitchell,1628909,https://cdn.wnba.com/headshots/wnba/latest/260x190/1628909.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/indiana_fever/indiana_fever_kelsey_mitchell__1628909.png,18350,
indiana_fever,indiana_fever_myisha_hines_allen,Myisha Hines-Allen,1628899,https://cdn.wnba.com/headshots/wnba/latest/260x190/1628899.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/indiana_fever/indiana_fever_myisha_hines_allen__1628899.png,16942,
indiana_fever,indiana_fever_raven_johnson,Raven Johnson,1643433,https://cdn.wnba.com/headshots/wnba/latest/260x190/1643433.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/indiana_fever/indiana_fever_raven_johnson__1643433.png,23915,
indiana_fever,indiana_fever_aliyah_boston,Aliyah Boston,1641648,https://cdn.wnba.com/headshots/wnba/latest/260x190/1641648.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/indiana_fever/indiana_fever_aliyah_boston__1641648.png,19742,
indiana_fever,indiana_fever_sophie_cunningham,Sophie Cunningham,1629482,https://cdn.wnba.com/headshots/wnba/latest/260x190/1629482.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/indiana_fever/indiana_fever_sophie_cunningham__1629482.png,18152,
indiana_fever,indiana_fever_lexie_hull,Lexie Hull,1631086,https://cdn.wnba.com/headshots/wnba/latest/260x190/1631086.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/indiana_fever/indiana_fever_lexie_hull__1631086.png,21042,
indiana_fever,indiana_fever_damiris_dantas,Damiris Dantas,203024,https://cdn.wnba.com/headshots/wnba/latest/260x190/203024.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/indiana_fever/indiana_fever_damiris_dantas__203024.png,13055,
indiana_fever,indiana_fever_justine_pissott,Justine Pissott,1643495,https://cdn.wnba.com/headshots/wnba/latest/260x190/1643495.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/indiana_fever/indiana_fever_justine_pissott__1643495.png,20701,
indiana_fever,indiana_fever_grace_vanslooten,Grace VanSlooten,1643453,https://cdn.wnba.com/headshots/wnba/latest/260x190/1643453.png,downloaded,outputs/latest/review_files/athlete_image_approval_pack/downloads/indiana_fever/indiana_fever_grace_vanslooten__1643453.png,19860,
