athlete_id,display_name,team_id,provider_player_id,approved_file,approved_marker,source_file,approved_at_utc,decision_source
chicago_sky_rickea_jackson,Rickea Jackson,chicago_sky,1642288,assets/leagues/wnba/athletes/chicago_sky_rickea_jackson/headshot.png,assets/leagues/wnba/athletes/chicago_sky_rickea_jackson/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_rickea_jackson__1642288.png,2026-06-16T02:49:50.234550+00:00,default
chicago_sky_saylor_poffenbarger,Saylor Poffenbarger,chicago_sky,1643458,assets/leagues/wnba/athletes/chicago_sky_saylor_poffenbarger/headshot.png,assets/leagues/wnba/athletes/chicago_sky_saylor_poffenbarger/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_saylor_poffenbarger__1643458.png,2026-06-16T02:49:50.234879+00:00,default
chicago_sky_dijonai_carrington,DiJonai Carrington,chicago_sky,1630096,assets/leagues/wnba/athletes/chicago_sky_dijonai_carrington/headshot.png,assets/leagues/wnba/athletes/chicago_sky_dijonai_carrington/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_dijonai_carrington__1630096.png,2026-06-16T02:49:50.235231+00:00,default
chicago_sky_natasha_cloud,Natasha Cloud,chicago_sky,204333,assets/leagues/wnba/athletes/chicago_sky_natasha_cloud/headshot.png,assets/leagues/wnba/athletes/chicago_sky_natasha_cloud/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_natasha_cloud__204333.png,2026-06-16T02:49:50.235565+00:00,default
chicago_sky_kamilla_cardoso,Kamilla Cardoso,chicago_sky,1642289,assets/leagues/wnba/athletes/chicago_sky_kamilla_cardoso/headshot.png,assets/leagues/wnba/athletes/chicago_sky_kamilla_cardoso/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_kamilla_cardoso__1642289.png,2026-06-16T02:49:50.235914+00:00,default
chicago_sky_gabriela_jaquez,Gabriela Jaquez,chicago_sky,1643447,assets/leagues/wnba/athletes/chicago_sky_gabriela_jaquez/headshot.png,assets/leagues/wnba/athletes/chicago_sky_gabriela_jaquez/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_gabriela_jaquez__1643447.png,2026-06-16T02:49:50.236245+00:00,default
chicago_sky_sydney_taylor,Sydney Taylor,chicago_sky,1642321,assets/leagues/wnba/athletes/chicago_sky_sydney_taylor/headshot.png,assets/leagues/wnba/athletes/chicago_sky_sydney_taylor/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_sydney_taylor__1642321.png,2026-06-16T02:49:50.236574+00:00,default
chicago_sky_maddy_westbeld,Maddy Westbeld,chicago_sky,1642818,assets/leagues/wnba/athletes/chicago_sky_maddy_westbeld/headshot.png,assets/leagues/wnba/athletes/chicago_sky_maddy_westbeld/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_maddy_westbeld__1642818.png,2026-06-16T02:49:50.236919+00:00,default
chicago_sky_courtney_vandersloot,Courtney Vandersloot,chicago_sky,202664,assets/leagues/wnba/athletes/chicago_sky_courtney_vandersloot/headshot.png,assets/leagues/wnba/athletes/chicago_sky_courtney_vandersloot/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_courtney_vandersloot__202664.png,2026-06-16T02:49:50.237251+00:00,default
chicago_sky_rachel_banham,Rachel Banham,chicago_sky,1627671,assets/leagues/wnba/athletes/chicago_sky_rachel_banham/headshot.png,assets/leagues/wnba/athletes/chicago_sky_rachel_banham/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_rachel_banham__1627671.png,2026-06-16T02:49:50.237585+00:00,default
